B;1.11;1.43;2.44;3.96;5.5;5.97;5.14;3.85;2.41;1.53;1.19;0.95
B;0.99;1.44;2.47;4.24;5.62;6.11;5.03;3.56;2.23;1.31;1.04;0.88
B;0.91;1.38;2.54;4.4;5.83;6.52;5.32;3.64;2.25;1.44;0.98;0.86
B;0.88;1.43;2.73;5.12;6.58;7.14;5.99;4.12;2.4;1.61;1.09;0.92
B;1.03;1.53;2.73;4.31;5.82;6.5;5.63;4.12;2.66;1.62;1.15;0.93
B;0.99;1.46;2.76;4.46;6.15;6.57;5.82;4.13;2.52;1.67;1.04;1.01
B;1.11;1.47;2.59;4.35;5.81;6.38;5.54;3.94;2.49;1.68;1.23;1.0
B;1.14;1.56;2.87;4.6;6.57;7.05;6.2;4.38;2.55;1.66;1.35;0.95
B;1.06;1.84;3.49;6.2;8.49;9.31;7.57;5.3;3.12;1.74;1.23;1.06
B;1.03;1.36;2.46;4.0;5.38;5.84;5.33;3.85;2.32;1.7;1.06;0.94
B;0.95;1.21;2.55;4.23;5.97;6.04;5.28;3.41;2.27;1.52;1.07;0.9
B;1.04;1.56;2.62;4.65;6.37;6.77;6.06;4.31;2.73;1.75;1.27;0.95
B;0.96;1.67;3.31;5.62;7.43;8.15;6.79;4.61;2.79;1.77;1.22;1.0
B;0.96;1.4;2.71;4.25;5.85;6.35;5.37;3.66;2.36;1.38;1.09;0.91
B;0.93;1.82;3.57;6.0;8.39;9.06;8.01;5.6;3.38;2.01;1.45;1.05
B;1.15;1.59;3.21;5.58;7.27;7.76;6.7;4.61;2.97;1.86;1.29;1.02
B;1.24;1.63;2.96;4.66;6.37;6.96;6.12;4.43;2.83;1.74;1.21;1.06
B;1.19;1.76;3.2;5.12;7.2;7.9;6.8;4.82;2.98;1.77;1.3;1.0
B;0.91;1.39;2.21;3.6;5.06;5.54;4.77;3.48;2.27;1.43;1.05;0.85
B;0.85;1.43;2.82;4.9;6.89;7.51;6.25;4.22;2.57;1.46;1.09;0.82
B;0.98;1.62;2.88;5.05;6.86;7.44;6.48;4.57;2.8;1.79;1.19;0.91
B;0.97;1.54;2.89;4.94;6.61;7.33;6.13;4.43;2.65;1.63;1.15;0.89
B;0.99;1.65;3.23;5.62;7.47;8.27;6.91;5.11;3.18;1.97;1.15;0.9
B;1.04;1.76;3.17;5.54;7.73;8.13;6.95;4.97;2.87;1.78;1.26;0.99
B;0.98;1.39;2.29;3.8;5.32;5.89;5.19;3.63;2.4;1.49;1.07;0.87
B;1.18;2.19;4.64;8.07;10.95;11.74;10.11;6.86;4.12;2.19;1.48;1.16
B;0.93;1.71;3.36;5.69;7.94;8.24;6.73;4.78;2.83;1.61;1.25;0.92
B;1.12;2.02;4.01;6.81;9.46;10.21;8.68;5.87;3.61;2.1;1.38;1.11
B;1.02;1.68;3.31;5.66;7.41;8.2;7.07;4.82;2.98;1.74;1.24;0.93
B;1.15;1.28;2.15;3.47;4.73;5.27;4.56;3.43;2.26;1.43;1.07;0.89
B;0.79;1.43;2.48;4.4;5.83;6.05;5.36;3.59;2.25;1.47;1.0;0.93
B;1.02;1.56;2.95;5.0;6.51;7.35;6.53;4.55;2.87;1.72;1.22;1.05
B;0.9;1.51;3.02;5.0;7.23;7.77;6.17;4.34;2.57;1.48;1.09;0.92
B;0.89;1.73;3.42;5.76;8.04;8.74;7.82;5.11;3.12;1.86;1.22;1.03
B;1.04;1.38;2.48;4.13;5.58;6.1;5.17;3.65;2.21;1.55;1.12;0.94
B;1.0;1.4;2.45;4.21;5.66;5.95;5.36;3.81;2.35;1.42;1.11;1.05
B;1.13;2.16;4.16;6.94;9.62;10.54;8.97;6.35;3.84;2.32;1.49;1.03
B;0.93;1.45;2.98;4.91;6.48;7.17;6.15;4.51;2.91;1.67;1.16;0.91
B;1.15;2.18;4.58;7.55;10.46;11.3;9.41;6.62;3.84;2.24;1.33;1.17
B;1.1;1.88;3.34;5.9;7.84;8.63;7.27;5.15;3.05;1.86;1.36;1.09
B;0.94;1.45;3.05;5.27;7.0;8.03;6.28;4.39;2.54;1.54;1.1;0.91
B;1.01;1.63;2.81;4.74;6.69;7.45;6.19;4.31;2.64;1.57;1.16;0.84
B;0.94;1.26;2.31;3.78;5.12;5.65;5.03;3.77;2.2;1.47;0.98;0.83
B;1.17;1.71;3.24;5.54;7.26;7.99;7.09;5.06;3.14;1.91;1.29;1.0
B;0.98;1.8;3.75;6.49;8.84;9.34;7.81;5.19;3.09;1.72;1.16;0.99
B;1.1;1.56;3.11;5.04;7.12;7.63;6.56;4.5;2.8;1.78;1.31;1.1
B;1.21;1.3;2.32;3.47;4.73;5.25;4.56;3.35;2.31;1.53;1.19;1.02
B;1.0;1.25;2.16;3.54;4.81;5.26;4.68;3.27;2.2;1.37;1.07;0.87
B;0.96;1.26;2.55;4.21;5.68;6.28;5.24;3.72;2.17;1.43;1.03;0.83
B;1.01;1.74;3.57;5.74;8.12;8.67;7.54;5.01;3.07;1.78;1.22;1.03
B;1.1;1.87;3.43;6.31;8.45;9.26;7.77;5.46;3.01;1.97;1.38;1.15
B;1.15;1.4;2.19;3.57;4.69;5.21;4.55;3.39;2.27;1.57;1.13;1.04
B;0.97;1.43;2.79;4.55;6.21;6.86;5.88;4.41;2.53;1.63;1.08;0.88
B;0.83;1.61;2.87;4.75;6.38;7.09;6.0;4.41;2.76;1.65;1.06;0.9
B;1.1;1.48;2.4;3.87;5.36;5.93;5.13;3.78;2.43;1.59;1.29;1.01
B;1.04;1.51;2.69;4.45;5.86;6.57;5.47;3.94;2.66;1.65;1.12;0.93
B;1.02;1.59;2.85;4.72;6.57;6.75;6.05;4.31;2.56;1.64;1.23;0.99
B;1.11;1.82;3.54;5.86;8.48;9.04;7.76;5.46;3.41;1.96;1.23;1.05
B;1.01;1.73;3.14;5.14;7.09;8.09;6.99;5.07;2.95;1.94;1.32;0.96
B;1.26;1.8;3.25;5.26;7.45;8.19;6.97;4.97;3.12;2.12;1.44;1.06
B;0.99;1.18;1.89;2.92;3.9;4.29;3.95;2.9;1.93;1.35;0.98;0.87
B;1.11;1.66;2.94;5.07;6.83;7.71;6.36;4.57;3.05;1.76;1.26;1.05
B;0.91;1.91;3.64;5.85;8.01;8.99;7.67;5.6;3.57;2.06;1.27;1.01
B;1.07;1.86;3.47;5.99;7.81;8.72;7.54;5.26;3.43;2.0;1.32;1.15
B;0.95;1.44;2.97;4.83;6.44;6.93;5.86;4.0;2.29;1.51;0.99;0.89
B;0.93;1.77;3.57;6.35;8.55;8.92;7.69;5.19;3.06;1.77;1.28;0.96
B;0.96;1.06;1.69;2.69;3.71;3.95;3.64;2.61;1.83;1.31;0.99;0.91
B;0.94;1.52;2.92;5.13;6.94;7.64;6.78;4.71;2.65;1.64;1.11;0.86
B;1.0;1.51;2.96;4.96;6.88;7.52;6.17;4.19;2.66;1.7;1.17;0.96
Multivariate_threshold|Si > -2.087044;1.1475795325746743;1.8187175358503433;3.4661956777712075;5.8517995927133875;8.004104373210918;8.707711194816477;7.516680350846788;5.302905006943513;3.248036726647943;1.9593878342291482;1.3330358929991786;1.0466856591472293
Multivariate_threshold|Si > -4.200922;1.0665751883109742;1.6297022567588728;3.055173576442451;5.130891964440957;7.0091335013378435;7.6178086879401565;6.560331302450475;4.63916180829689;2.8607120602427516;1.7591222572158685;1.227772542311229;0.9890095105120182
Multivariate_threshold|Si > -6.726367;0.9697995276916704;1.4038862382787838;2.5641266363458093;4.26962566316156;5.820444619306723;6.3157052504970155;5.417783803517503;3.846189689153625;2.397976378518195;1.5198655396789151;1.102014715438815;0.9201039791249692
Multivariate_threshold|Si <= 9.803451;1.60322620627028;2.881922034059823;5.778180979154;9.906880413993736;13.600781592362761;14.838375623060493;12.896111130203288;9.03643786126652;5.426724764826063;3.085874874538707;1.925138650437482;1.3711120280794438
Multivariate_threshold|Si <= -4.200922;1.0665751883109742;1.6297022567588728;3.055173576442451;5.130891964440957;7.0091335013378435;7.6178086879401565;6.560331302450475;4.63916180829689;2.8607120602427516;1.7591222572158685;1.227772542311229;0.9890095105120182
Multivariate_threshold|Si <= -2.087044;1.1475795325746743;1.8187175358503433;3.4661956777712075;5.8517995927133875;8.004104373210918;8.707711194816477;7.516680350846788;5.302905006943513;3.248036726647943;1.9593878342291482;1.3330358929991786;1.0466856591472293
