A;57.0;47.0;45.0;55.0;63.0;72.0;49.0;47.0;61.0;59.0;48.0;71.0;79.0;68.0;89.0;82.0;80.0;96.0;105.0;123.0;117.0;122.0;147.0;156.0;155.0;187.0;176.0;205.0;206.0;232.0;243.0;281.0;261.0;309.0;330.0;367.0;356.0;371.0;438.0;446.0;394.0;473.0;468.0;493.0;455.0;467.0;440.0;466.0;457.0;466.0;413.0;390.0;379.0;365.0;353.0;356.0;312.0;266.0;284.0;262.0;260.0;232.0;211.0;207.0;171.0;144.0;152.0;153.0;122.0;114.0;96.0;108.0;88.0;73.0;89.0;68.0;73.0;80.0;64.0;48.0;47.0;43.0;47.0;58.0;40.0;50.0;51.0;58.0;51.0;54.0;45.0;44.0;44.0;51.0;44.0;39.0;54.0;38.0;59.0;38.0;43.0;35.0;39.0;41.0;53.0;37.0;44.0;51.0;45.0;48.0;34.0;44.0;41.0;34.0;49.0
A;56.0;54.0;72.0;46.0;61.0;79.0;73.0;86.0;83.0;85.0;80.0;88.0;96.0;117.0;135.0;153.0;176.0;199.0;209.0;239.0;265.0;327.0;341.0;355.0;451.0;511.0;589.0;628.0;739.0;823.0;862.0;967.0;1085.0;1253.0;1261.0;1378.0;1473.0;1636.0;1635.0;1705.0;1825.0;1933.0;1992.0;2066.0;2173.0;2236.0;2193.0;2221.0;2157.0;2171.0;2228.0;2085.0;2069.0;2020.0;1890.0;1807.0;1713.0;1557.0;1577.0;1438.0;1370.0;1193.0;1160.0;1004.0;935.0;863.0;763.0;685.0;637.0;579.0;479.0;417.0;397.0;302.0;269.0;234.0;215.0;191.0;152.0;130.0;155.0;114.0;98.0;88.0;83.0;83.0;67.0;75.0;58.0;62.0;46.0;52.0;38.0;49.0;43.0;45.0;52.0;48.0;44.0;56.0;41.0;54.0;50.0;40.0;44.0;44.0;44.0;57.0;50.0;48.0;46.0;51.0;52.0;62.0;44.0
A;108.0;104.0;101.0;113.0;110.0;126.0;112.0;110.0;132.0;122.0;138.0;119.0;115.0;152.0;153.0;145.0;196.0;195.0;185.0;197.0;245.0;254.0;309.0;290.0;361.0;384.0;416.0;454.0;523.0;558.0;601.0;696.0;739.0;784.0;883.0;879.0;1051.0;1061.0;1087.0;1167.0;1244.0;1288.0;1340.0;1342.0;1402.0;1379.0;1402.0;1431.0;1425.0;1450.0;1463.0;1419.0;1364.0;1342.0;1314.0;1258.0;1181.0;1143.0;1112.0;977.0;930.0;842.0;837.0;740.0;674.0;609.0;555.0;498.0;453.0;433.0;393.0;322.0;338.0;286.0;224.0;230.0;234.0;195.0;166.0;144.0;156.0;137.0;146.0;118.0;128.0;134.0;116.0;112.0;99.0;111.0;113.0;117.0;114.0;113.0;100.0;88.0;92.0;80.0;102.0;100.0;93.0;98.0;94.0;77.0;106.0;90.0;89.0;96.0;99.0;108.0;91.0;82.0;100.0;104.0;97.0
A;37.0;47.0;45.0;25.0;31.0;35.0;43.0;32.0;51.0;36.0;38.0;30.0;48.0;37.0;48.0;48.0;40.0;74.0;54.0;78.0;73.0;70.0;102.0;99.0;101.0;118.0;147.0;151.0;136.0;165.0;153.0;199.0;150.0;215.0;247.0;231.0;238.0;252.0;279.0;318.0;293.0;306.0;311.0;339.0;362.0;333.0;329.0;316.0;347.0;334.0;303.0;300.0;300.0;312.0;288.0;282.0;251.0;253.0;251.0;223.0;216.0;191.0;220.0;190.0;171.0;155.0;164.0;140.0;142.0;114.0;108.0;100.0;118.0;114.0;77.0;93.0;65.0;63.0;49.0;65.0;68.0;60.0;57.0;44.0;53.0;37.0;37.0;54.0;29.0;35.0;43.0;37.0;37.0;34.0;37.0;32.0;27.0;36.0;29.0;32.0;28.0;33.0;22.0;36.0;29.0;35.0;35.0;28.0;31.0;41.0;36.0;39.0;36.0;39.0;28.0
A;57.0;72.0;72.0;73.0;81.0;71.0;81.0;87.0;86.0;91.0;88.0;93.0;100.0;84.0;82.0;87.0;115.0;114.0;125.0;110.0;135.0;158.0;158.0;171.0;176.0;187.0;222.0;260.0;283.0;296.0;345.0;335.0;368.0;400.0;383.0;407.0;436.0;500.0;483.0;528.0;568.0;556.0;566.0;593.0;620.0;587.0;549.0;573.0;634.0;572.0;591.0;561.0;577.0;537.0;548.0;490.0;450.0;455.0;404.0;374.0;373.0;320.0;286.0;280.0;250.0;251.0;205.0;207.0;193.0;178.0;159.0;162.0;137.0;140.0;103.0;119.0;99.0;99.0;86.0;91.0;85.0;72.0;72.0;80.0;75.0;71.0;56.0;72.0;69.0;63.0;70.0;63.0;68.0;60.0;55.0;62.0;57.0;58.0;79.0;68.0;64.0;66.0;72.0;66.0;63.0;56.0;57.0;64.0;59.0;61.0;68.0;62.0;51.0;59.0;78.0
A;15.0;17.0;15.0;11.0;18.0;20.0;24.0;15.0;16.0;23.0;23.0;31.0;28.0;42.0;37.0;40.0;41.0;55.0;58.0;72.0;72.0;85.0;106.0;116.0;98.0;143.0;148.0;154.0;189.0;197.0;222.0;239.0;237.0;299.0;320.0;309.0;350.0;319.0;340.0;387.0;414.0;426.0;419.0;435.0;480.0;446.0;472.0;473.0;439.0;424.0;418.0;413.0;441.0;395.0;353.0;333.0;314.0;324.0;311.0;238.0;232.0;220.0;178.0;207.0;154.0;139.0;149.0;133.0;112.0;90.0;85.0;75.0;63.0;62.0;47.0;44.0;28.0;40.0;32.0;28.0;21.0;18.0;22.0;11.0;13.0;23.0;15.0;19.0;15.0;15.0;7.0;15.0;11.0;11.0;10.0;12.0;11.0;8.0;11.0;17.0;13.0;6.0;10.0;17.0;8.0;14.0;9.0;11.0;12.0;14.0;10.0;10.0;8.0;7.0;13.0
A;107.0;83.0;103.0;96.0;103.0;105.0;102.0;112.0;110.0;128.0;123.0;125.0;136.0;132.0;121.0;151.0;164.0;162.0;173.0;173.0;221.0;211.0;239.0;239.0;252.0;293.0;313.0;309.0;350.0;377.0;411.0;444.0;425.0;469.0;508.0;529.0;652.0;585.0;662.0;701.0;731.0;680.0;737.0;713.0;753.0;747.0;776.0;775.0;752.0;801.0;759.0;689.0;711.0;692.0;594.0;634.0;590.0;528.0;536.0;500.0;483.0;466.0;387.0;350.0;350.0;313.0;329.0;242.0;260.0;245.0;201.0;207.0;177.0;143.0;163.0;135.0;150.0;160.0;134.0;103.0;131.0;125.0;111.0;119.0;79.0;108.0;85.0;116.0;96.0;96.0;86.0;91.0;90.0;81.0;102.0;117.0;90.0;93.0;100.0;96.0;85.0;86.0;87.0;98.0;97.0;98.0;100.0;87.0;87.0;76.0;89.0;96.0;90.0;84.0;92.0
B;77.0;70.0;74.0;93.0;96.0;81.0;76.0;87.0;90.0;89.0;99.0;101.0;119.0;114.0;107.0;115.0;115.0;123.0;143.0;177.0;161.0;176.0;164.0;204.0;217.0;267.0;261.0;270.0;321.0;327.0;373.0;419.0;422.0;458.0;493.0;545.0;585.0;563.0;623.0;562.0;618.0;646.0;712.0;734.0;692.0;686.0;724.0;714.0;712.0;681.0;698.0;688.0;658.0;631.0;609.0;567.0;616.0;525.0;497.0;471.0;433.0;381.0;389.0;333.0;308.0;287.0;280.0;232.0;228.0;188.0;194.0;207.0;154.0;121.0;139.0;142.0;113.0;125.0;83.0;89.0;94.0;98.0;80.0;78.0;81.0;84.0;81.0;71.0;81.0;79.0;73.0;89.0;78.0;89.0;75.0;70.0;85.0;73.0;79.0;81.0;77.0;56.0;90.0;72.0;71.0;85.0;69.0;55.0;83.0;62.0;78.0;80.0;60.0;76.0;73.0
B;45.0;72.0;44.0;48.0;57.0;55.0;57.0;58.0;50.0;65.0;61.0;69.0;57.0;79.0;87.0;82.0;86.0;113.0;119.0;125.0;150.0;141.0;180.0;189.0;220.0;235.0;288.0;296.0;304.0;340.0;378.0;426.0;426.0;473.0;529.0;545.0;593.0;568.0;661.0;664.0;691.0;685.0;702.0;753.0;805.0;735.0;794.0;746.0;743.0;739.0;727.0;691.0;704.0;673.0;660.0;633.0;607.0;538.0;523.0;542.0;437.0;395.0;424.0;381.0;334.0;315.0;284.0;231.0;229.0;189.0;151.0;169.0;154.0;125.0;131.0;114.0;99.0;85.0;82.0;72.0;65.0;65.0;70.0;62.0;46.0;61.0;58.0;50.0;45.0;41.0;53.0;58.0;43.0;39.0;48.0;55.0;43.0;45.0;44.0;39.0;46.0;36.0;48.0;42.0;44.0;39.0;49.0;39.0;42.0;45.0;40.0;39.0;56.0;36.0;44.0
B;44.0;33.0;50.0;52.0;35.0;58.0;48.0;46.0;52.0;57.0;70.0;82.0;72.0;93.0;109.0;114.0;127.0;166.0;157.0;199.0;221.0;241.0;275.0;339.0;339.0;394.0;454.0;436.0;531.0;610.0;645.0;716.0;706.0;816.0;870.0;934.0;940.0;998.0;1023.0;1097.0;1128.0;1193.0;1223.0;1245.0;1215.0;1230.0;1160.0;1154.0;1204.0;1175.0;1079.0;1098.0;1030.0;989.0;943.0;927.0;904.0;777.0;744.0;705.0;568.0;567.0;512.0;471.0;401.0;358.0;309.0;277.0;279.0;220.0;213.0;159.0;179.0;128.0;123.0;121.0;89.0;68.0;74.0;68.0;49.0;50.0;44.0;47.0;55.0;37.0;40.0;26.0;39.0;29.0;41.0;35.0;28.0;29.0;25.0;29.0;27.0;30.0;26.0;26.0;23.0;32.0;28.0;41.0;31.0;28.0;30.0;29.0;19.0;27.0;42.0;22.0;26.0;32.0;16.0
B;74.0;90.0;101.0;115.0;89.0;115.0;100.0;111.0;151.0;172.0;211.0;183.0;217.0;270.0;309.0;369.0;455.0;513.0;625.0;701.0;826.0;925.0;1078.0;1255.0;1461.0;1641.0;1865.0;2114.0;2388.0;2618.0;2984.0;3322.0;3617.0;3974.0;4268.0;4493.0;4813.0;5421.0;5695.0;5970.0;6212.0;6457.0;6669.0;6745.0;6908.0;7131.0;7224.0;7150.0;7288.0;7171.0;6937.0;6887.0;6707.0;6465.0;6291.0;6099.0;5707.0;5440.0;5065.0;4735.0;4398.0;4036.0;3630.0;3385.0;2988.0;2774.0;2390.0;2214.0;1936.0;1663.0;1424.0;1266.0;1158.0;1013.0;805.0;719.0;612.0;492.0;420.0;381.0;303.0;259.0;221.0;175.0;150.0;120.0;117.0;118.0;82.0;73.0;55.0;63.0;54.0;55.0;51.0;46.0;53.0;47.0;42.0;39.0;44.0;48.0;36.0;39.0;34.0;41.0;42.0;41.0;40.0;44.0;39.0;55.0;32.0;42.0;38.0
B;110.0;119.0;127.0;120.0;129.0;150.0;146.0;166.0;170.0;172.0;205.0;205.0;231.0;274.0;318.0;365.0;409.0;436.0;500.0;563.0;651.0;750.0;823.0;931.0;1099.0;1201.0;1272.0;1531.0;1632.0;1807.0;2100.0;2268.0;2410.0;2668.0;2934.0;3078.0;3301.0;3414.0;3840.0;3744.0;4045.0;4240.0;4373.0;4436.0;4533.0;4551.0;4644.0;4601.0;4558.0;4408.0;4338.0;4231.0;4244.0;4066.0;3834.0;3677.0;3496.0;3291.0;3042.0;2810.0;2761.0;2478.0;2222.0;2020.0;1813.0;1682.0;1459.0;1327.0;1152.0;1039.0;880.0;830.0;692.0;570.0;574.0;443.0;396.0;362.0;295.0;253.0;235.0;206.0;186.0;192.0;148.0;145.0;121.0;132.0;143.0;93.0;110.0;129.0;102.0;115.0;106.0;90.0;108.0;92.0;97.0;101.0;84.0;101.0;96.0;94.0;91.0;83.0;71.0;81.0;95.0;99.0;83.0;92.0;90.0;100.0;85.0
B;69.0;63.0;72.0;101.0;75.0;83.0;86.0;87.0;118.0;89.0;107.0;134.0;133.0;151.0;187.0;189.0;213.0;255.0;282.0;339.0;357.0;407.0;483.0;563.0;646.0;744.0;802.0;928.0;976.0;1179.0;1292.0;1454.0;1523.0;1686.0;1858.0;2004.0;2140.0;2352.0;2474.0;2583.0;2728.0;2804.0;3000.0;2965.0;3171.0;3091.0;3197.0;3264.0;3207.0;3160.0;3048.0;3075.0;2966.0;2769.0;2771.0;2726.0;2658.0;2433.0;2233.0;2114.0;1994.0;1835.0;1622.0;1565.0;1431.0;1229.0;1153.0;975.0;903.0;806.0;672.0;618.0;488.0;472.0;417.0;338.0;312.0;250.0;227.0;214.0;165.0;150.0;153.0;131.0;92.0;104.0;81.0;84.0;92.0;68.0;55.0;70.0;73.0;60.0;56.0;50.0;62.0;51.0;55.0;50.0;53.0;51.0;46.0;44.0;72.0;53.0;53.0;56.0;54.0;54.0;55.0;58.0;59.0;48.0;43.0
B;84.0;79.0;80.0;91.0;94.0;104.0;92.0;92.0;95.0;100.0;125.0;108.0;100.0;120.0;116.0;130.0;108.0;150.0;179.0;170.0;157.0;195.0;238.0;273.0;286.0;296.0;340.0;357.0;413.0;469.0;494.0;521.0;557.0;596.0;663.0;676.0;732.0;741.0;816.0;791.0;819.0;975.0;923.0;856.0;1016.0;983.0;958.0;984.0;974.0;900.0;857.0;856.0;868.0;897.0;824.0;816.0;730.0;719.0;650.0;578.0;585.0;534.0;461.0;462.0;450.0;399.0;326.0;312.0;298.0;270.0;241.0;226.0;191.0;188.0;144.0;140.0;136.0;136.0;117.0;121.0;94.0;106.0;114.0;92.0;91.0;99.0;91.0;82.0;73.0;91.0;86.0;83.0;70.0;67.0;95.0;88.0;72.0;73.0;72.0;92.0;65.0;77.0;75.0;87.0;73.0;69.0;73.0;81.0;67.0;83.0;69.0;82.0;67.0;66.0;72.0
B;7.0;5.0;18.0;9.0;12.0;9.0;15.0;19.0;21.0;15.0;20.0;23.0;19.0;26.0;36.0;31.0;32.0;44.0;43.0;60.0;65.0;68.0;80.0;79.0;103.0;118.0;135.0;124.0;152.0;159.0;190.0;194.0;235.0;261.0;265.0;293.0;333.0;323.0;300.0;363.0;362.0;410.0;406.0;404.0;405.0;404.0;453.0;409.0;433.0;360.0;384.0;391.0;331.0;378.0;356.0;301.0;296.0;307.0;235.0;258.0;227.0;208.0;170.0;177.0;182.0;150.0;121.0;123.0;98.0;94.0;71.0;83.0;45.0;68.0;47.0;49.0;33.0;33.0;32.0;17.0;23.0;20.0;13.0;13.0;12.0;17.0;11.0;10.0;10.0;11.0;15.0;10.0;4.0;8.0;12.0;13.0;9.0;13.0;12.0;6.0;11.0;13.0;15.0;13.0;4.0;8.0;7.0;10.0;8.0;2.0;11.0;10.0;13.0;6.0;8.0
B;170.0;164.0;167.0;167.0;158.0;147.0;199.0;160.0;178.0;181.0;174.0;196.0;210.0;210.0;212.0;247.0;249.0;295.0;289.0;320.0;333.0;384.0;436.0;503.0;566.0;560.0;685.0;747.0;789.0;828.0;965.0;966.0;1117.0;1248.0;1299.0;1360.0;1484.0;1590.0;1634.0;1704.0;1773.0;1886.0;2015.0;1962.0;2041.0;2074.0;2025.0;2113.0;2069.0;2037.0;1977.0;1968.0;1960.0;1780.0;1798.0;1775.0;1592.0;1577.0;1384.0;1368.0;1287.0;1212.0;1134.0;965.0;911.0;838.0;774.0;690.0;596.0;556.0;519.0;464.0;425.0;389.0;320.0;320.0;289.0;251.0;263.0;216.0;188.0;195.0;193.0;195.0;171.0;171.0;154.0;143.0;165.0;176.0;154.0;145.0;157.0;170.0;182.0;144.0;161.0;138.0;139.0;130.0;130.0;155.0;131.0;139.0;138.0;155.0;164.0;128.0;140.0;142.0;147.0;167.0;162.0;149.0;139.0
