energy;Permutation_importance
2.4;0.0009721486539141794
1.32;0.0009693604333956019
10.08;0.0009670779010151464
11.06;0.000959171964274177
3;0.0009579874571329228
2.36;0.0009547836434805603
7.6;0.0009445586704724103
5.7;0.0009385285013691786
9.58;0.0009359788474904375
7.4;0.0009315440498800783
6.78;0.0009314388235883826
2.5;0.0009298844214284564
6.02;0.0009253390578349426
8.18;0.0009242405469393452
7.62;0.0009184685865475481
12.04;0.0009140694798099319
12.62;0.0009115617570032498
6.68;0.0009093073825094696
11.88;0.0009060418345585208
5.66;0.0009026032155277774
8.26;0.0009022302306243634
11.62;0.0009005208834937456
4.88;0.0008971539239519504
5.26;0.0008939310110921684
9.34;0.000887640344874811
9.72;0.0008856808249011911
9.68;0.0008850189281444928
2.52;0.0008826930150982622
2.24;0.0008814557324806389
13.04;0.0008814077515590319
9.3;0.0008785490202900682
8.04;0.0008773605615930373
10.18;0.000876456529208175
6.98;0.0008655481785266466
7.7;0.0008601035997887411
5.74;0.0008558158633977491
5.06;0.0008499083372509184
2.14;0.000849285530295397
9.84;0.0008352120873910552
8.96;0.0008340360518340346
12.34;0.0008325256690514411
10.88;0.0008302749730420073
1.82;0.0008289640000622803
9.26;0.0008272725633916391
11.28;0.000827224796397661
7.54;0.0008212234127852915
11.22;0.0008191191467827651
8.5;0.0008144843816020472
5.12;0.0008125358179953045
8.54;0.0008109210761923826
9.28;0.0008109112748439248
5.64;0.0008100442458428121
3.2;0.0008056401897219331
10.76;0.0007890125322184069
3.24;0.0007884566758985372
10.22;0.0007875162229787968
3.18;0.0007870964066656452
12.2;0.0007807975886014297
13.02;0.0007802868545720832
10.86;0.0007656792880543265
2.7;0.0007648983468724758
9.52;0.0007646731281608788
8.4;0.0007599324666065966
5.3;0.0007587398325007354
10.48;0.0007585190822023158
3.94;0.0007584862717347265
2.72;0.0007567576842362076
11.04;0.000753960429487588
7.52;0.0007475690102071378
11.2;0.0007425301544698214
7.28;0.0007361557977288701
7.32;0.0007333742493539041
4.4;0.0007256683785431661
9.04;0.0007212603999346629
4.8;0.00071701425692983
6.74;0.0007157894269452821
11.9;0.0007151303795628729
8.68;0.0007151226205642305
10.64;0.0007028623613484236
1.94;0.0007003403301150534
7.68;0.0006947787062319425
10.16;0.0006899501814779897
1.78;0.0006866493335258423
12.46;0.0006813991718758079
10.3;0.0006768219231942646
12.86;0.0006691185919893676
2.04;0.0006679131854740555
4.14;0.0006676321698414641
11.74;0.0006648163788742562
10.58;0.0006621483857075745
8.94;0.0006575449501547215
2.38;0.0006543051987389075
9.82;0.0006530994050334873
12.76;0.0006500947999292238
9.78;0.0006481572266566866
12.14;0.0006412526781358992
1.58;0.0006393447109795151
1.62;0.0006353217013279002
8.3;0.0006288938444216133
9.22;0.0006273179358078417
12.4;0.0006236653983591586
10.42;0.0006221227457048588
11.92;0.0006195171493831616
5.22;0.0006187575662370866
7.26;0.000617090170722392
4.94;0.0006136000412209381
6.04;0.0006127123130091396
2.96;0.0006114000816824269
2.46;0.0006002567852376312
11.08;0.0006001440675358947
