B;0.1783;0.1811;0.1674;0.1911;0.1843;0.1869;0.1849;0.1986;0.176;0.194;0.2029;0.1997;0.1923;0.2143;0.2283;0.2203;0.2331;0.248;0.2371;0.2551;0.2757;0.2766;0.2849;0.3194;0.3243;0.348;0.3457;0.3471;0.3697;0.3889;0.3694;0.3809;0.4026;0.3946;0.3851;0.3931;0.3946;0.3823;0.3789;0.3774;0.3769;0.3686;0.3606;0.3623;0.3571;0.3437;0.3517;0.2914;0.3169;0.3051;0.2926;0.272;0.2651;0.2566;0.242;0.2417;0.2197;0.2254;0.2029;0.2171;0.1863;0.1871;0.1869;0.186;0.1797;0.1797;0.1637;0.1726;0.1611;0.158;0.1583;0.1611;0.146;0.1354;0.1389;0.1369
B;0.1336;0.1423;0.1426;0.1333;0.1433;0.1408;0.1454;0.1479;0.1428;0.1469;0.1505;0.1567;0.1654;0.161;0.1782;0.1715;0.2;0.1918;0.2054;0.2092;0.2182;0.2149;0.2354;0.2423;0.24;0.26;0.2654;0.2738;0.2854;0.2987;0.2926;0.2869;0.3105;0.3051;0.2974;0.3074;0.3062;0.2962;0.2877;0.2962;0.2905;0.2892;0.2785;0.2569;0.2654;0.2544;0.2405;0.2338;0.24;0.2177;0.2223;0.2149;0.1949;0.1992;0.1818;0.1738;0.1713;0.1754;0.1608;0.1567;0.1592;0.1503;0.141;0.1338;0.1395;0.1254;0.1282;0.1354;0.1179;0.1333;0.1126;0.1079;0.1008;0.1049;0.1079;0.1177
Multivariate_threshold|Rh kb Compton > 0.160383;0.17177806547961696;0.1725061829278587;0.17391918609809448;0.17621205508895732;0.1746073333178898;0.17819220174023337;0.17829293840142985;0.18600843445892606;0.18236014959809976;0.1901652634969449;0.19088749636383184;0.19509700776241484;0.19931857923187318;0.20376303855518912;0.21237390823548954;0.22043899462960703;0.22118978317198024;0.2320954117579385;0.2411992773722006;0.25285729083692504;0.26320042298252405;0.27012348374152173;0.2807531746321712;0.29357484897815794;0.3054634947795558;0.3163735696405908;0.3193465506503419;0.3303755203007859;0.34792189240859184;0.35206720993168056;0.36221974204376345;0.364983291702664;0.36730985463772553;0.37293066430335997;0.3722776701890323;0.38060535250858596;0.37358462121626934;0.3741877077276752;0.3705190461595973;0.363124644253237;0.3634520092236349;0.34884518374444934;0.3459834245409748;0.335935830659676;0.33431681384848605;0.3216795764073997;0.31938892861163193;0.29694881943438306;0.2910826454249139;0.28277756498416357;0.2660629143574138;0.25961902257005454;0.24953861654553677;0.2426896542255751;0.23389760933997245;0.2241940736946709;0.21850321963473238;0.21100024463332068;0.20644393253701646;0.2025106690250047;0.19181586397928674;0.18708203965583042;0.17847645094324258;0.18012436759358086;0.1723365715231508;0.16567879567689903;0.15957600468624877;0.15868250536798412;0.1571415585784134;0.14607117851982823;0.14779245213377115;0.1447770909618191;0.13973993041531943;0.1365490616614234;0.13050985606577767;0.12760877769689688
Multivariate_threshold|Rh kb Compton <= -0.170675;0.14906830603161011;0.14912896210564794;0.14672098025699434;0.14690542080192426;0.15066746270703765;0.15570882674253322;0.1550610092271055;0.15749562491239533;0.15834074528201442;0.16054238074410696;0.16082554558635043;0.16584109252002238;0.16926127380124506;0.17319129770903216;0.18375543773747766;0.18651591590188493;0.19844600700533263;0.2022333688106837;0.21085744445024504;0.2124188780932505;0.22780391926042443;0.2344926202570899;0.24209254850323264;0.24888338523634815;0.25983218790917;0.2692765463101324;0.27250188694052624;0.28840541165020556;0.29401164974273203;0.30671328663691627;0.3082549617648352;0.30984541875559724;0.3146531336518989;0.31745910083128176;0.31712191284384245;0.32097905833792034;0.3199872180337417;0.31828385637595474;0.3164279202451211;0.30985746099654504;0.30980397012387817;0.3014528957663234;0.29640871169641914;0.2849947807646862;0.276790009577376;0.27124782051926477;0.2692917261800748;0.2556235893113521;0.24779052052702488;0.23797237165799778;0.2334665756956262;0.22393839137431013;0.2160782995420287;0.20650936915044807;0.20126897183264997;0.19456086869206324;0.18567624312017367;0.1798012582553771;0.17448636835539777;0.16620837068098177;0.1661185827247439;0.1622802463090596;0.15136645780101046;0.15033033688871716;0.14908338181672853;0.1417388553226778;0.13830558989710048;0.1383619521997587;0.12812788203451322;0.12904719252469535;0.1242961331902228;0.1181867343404649;0.1182982443859712;0.11446927565050864;0.11039823986933214;0.11089052672301361
Multivariate_threshold|Rh kb Compton > 0.042957;0.1637229294356061;0.1642142987938628;0.1642720012080625;0.16581701208048355;0.16611587769116115;0.1702173641049152;0.17005258911492818;0.1758949605394815;0.17384048342087172;0.17965804737533886;0.18022454311611597;0.18471995476416278;0.18865727368548857;0.19291926312102656;0.20222295644928603;0.20840650195573704;0.2131225814212828;0.22150336567999804;0.2304370501204958;0.23851381367240798;0.2506453074773762;0.2574852409899955;0.26704027715616674;0.27772281755217765;0.2892781016428079;0.2996682878843769;0.3027307806778589;0.3154887516524278;0.3287999664439708;0.33598020455826944;0.34307847162532784;0.34542592612233464;0.34863255195015425;0.3532549389235039;0.35271396102499936;0.3594559470098378;0.35457365920104406;0.35435865013447415;0.3513329610312025;0.3442308110183997;0.3444230866834236;0.33203517182095227;0.328399308019621;0.31786707532704733;0.3139120959719325;0.3037914673084314;0.30161948539342287;0.2822907887558465;0.2757269585236415;0.26688519375289765;0.2545010154716731;0.24696312724558317;0.2376702651367048;0.229856532014022;0.22232425407595333;0.21368319627817683;0.20685951366137265;0.19993398564079604;0.19510860651969308;0.18963426879096174;0.18270105600694952;0.17828486062797347;0.16886055503677813;0.16955644541120046;0.16408868114054861;0.1571873153122454;0.15203140320196631;0.1514748191468085;0.14685042747977223;0.14003278240576608;0.13945832397811767;0.13534550977161974;0.1321345791400321;0.1287173767619087;0.12337627964467121;0.12167882558442014
Multivariate_threshold|Rh kb Compton <= -0.073497;0.15573446570667537;0.15599104653753715;0.15470466601232621;0.15550800878368512;0.15769470579420952;0.16230853415520655;0.16188044515245806;0.1658651957859688;0.16539133447198617;0.1692377994216256;0.16964984707159717;0.1744287925743741;0.17808421170428648;0.18216524155426664;0.19215602403310372;0.1964736021550809;0.2051221518534509;0.21099898990701493;0.21976390176235272;0.22428905738654928;0.23819411059163495;0.2449516049016199;0.2534408812543364;0.2620019932998713;0.273226674912712;0.28310127564995213;0.2862525393386419;0.3007252007032402;0.30983631255146454;0.3200263512365545;0.3240956333929409;0.326030436745335;0.3301098411903703;0.33374206941036305;0.33331218057010226;0.33848159501974123;0.3357200508099575;0.3346937175378433;0.332305679019955;0.32549336193345413;0.3255516664265138;0.31536429627024154;0.31096073513039346;0.299947874979221;0.29367626782883016;0.28605141798642003;0.2839971197553527;0.26775408251360916;0.26049837055524366;0.25112436358764384;0.2430348143570467;0.23441198469450805;0.2259001480047724;0.21712962948179843;0.2108466914074262;0.20325931733409244;0.19531218257592475;0.1889593220108173;0.1838671029311448;0.1768644464481935;0.17366169124819758;0.1695604958007404;0.15932424984587087;0.15907599386043156;0.15590905849958742;0.1487661188821244;0.1445492483411258;0.14432679090336425;0.1366444760145216;0.13404436606188974;0.13119317735366068;0.12599199372512265;0.1245921773138603;0.12095051467362597;0.11630174779490379;0.11579795565174682
Multivariate_threshold|Rh kb Compton > -0.073497;0.15573446570667537;0.15599104653753715;0.15470466601232621;0.15550800878368512;0.15769470579420952;0.16230853415520655;0.16188044515245806;0.1658651957859688;0.16539133447198617;0.1692377994216256;0.16964984707159717;0.1744287925743741;0.17808421170428648;0.18216524155426664;0.19215602403310372;0.1964736021550809;0.2051221518534509;0.21099898990701493;0.21976390176235272;0.22428905738654928;0.23819411059163495;0.2449516049016199;0.2534408812543364;0.2620019932998713;0.273226674912712;0.28310127564995213;0.2862525393386419;0.3007252007032402;0.30983631255146454;0.3200263512365545;0.3240956333929409;0.326030436745335;0.3301098411903703;0.33374206941036305;0.33331218057010226;0.33848159501974123;0.3357200508099575;0.3346937175378433;0.332305679019955;0.32549336193345413;0.3255516664265138;0.31536429627024154;0.31096073513039346;0.299947874979221;0.29367626782883016;0.28605141798642003;0.2839971197553527;0.26775408251360916;0.26049837055524366;0.25112436358764384;0.2430348143570467;0.23441198469450805;0.2259001480047724;0.21712962948179843;0.2108466914074262;0.20325931733409244;0.19531218257592475;0.1889593220108173;0.1838671029311448;0.1768644464481935;0.17366169124819758;0.1695604958007404;0.15932424984587087;0.15907599386043156;0.15590905849958742;0.1487661188821244;0.1445492483411258;0.14432679090336425;0.1366444760145216;0.13404436606188974;0.13119317735366068;0.12599199372512265;0.1245921773138603;0.12095051467362597;0.11630174779490379;0.11579795565174682
Multivariate_threshold|Rh kb Compton <= 0.160383;0.17177806547961696;0.1725061829278587;0.17391918609809448;0.17621205508895732;0.1746073333178898;0.17819220174023337;0.17829293840142985;0.18600843445892606;0.18236014959809976;0.1901652634969449;0.19088749636383184;0.19509700776241484;0.19931857923187318;0.20376303855518912;0.21237390823548954;0.22043899462960703;0.22118978317198024;0.2320954117579385;0.2411992773722006;0.25285729083692504;0.26320042298252405;0.27012348374152173;0.2807531746321712;0.29357484897815794;0.3054634947795558;0.3163735696405908;0.3193465506503419;0.3303755203007859;0.34792189240859184;0.35206720993168056;0.36221974204376345;0.364983291702664;0.36730985463772553;0.37293066430335997;0.3722776701890323;0.38060535250858596;0.37358462121626934;0.3741877077276752;0.3705190461595973;0.363124644253237;0.3634520092236349;0.34884518374444934;0.3459834245409748;0.335935830659676;0.33431681384848605;0.3216795764073997;0.31938892861163193;0.29694881943438306;0.2910826454249139;0.28277756498416357;0.2660629143574138;0.25961902257005454;0.24953861654553677;0.2426896542255751;0.23389760933997245;0.2241940736946709;0.21850321963473238;0.21100024463332068;0.20644393253701646;0.2025106690250047;0.19181586397928674;0.18708203965583042;0.17847645094324258;0.18012436759358086;0.1723365715231508;0.16567879567689903;0.15957600468624877;0.15868250536798412;0.1571415585784134;0.14607117851982823;0.14779245213377115;0.1447770909618191;0.13973993041531943;0.1365490616614234;0.13050985606577767;0.12760877769689688
Multivariate_threshold|Rh kb Compton > -0.170675;0.14906830603161011;0.14912896210564794;0.14672098025699434;0.14690542080192426;0.15066746270703765;0.15570882674253322;0.1550610092271055;0.15749562491239533;0.15834074528201442;0.16054238074410696;0.16082554558635043;0.16584109252002238;0.16926127380124506;0.17319129770903216;0.18375543773747766;0.18651591590188493;0.19844600700533263;0.2022333688106837;0.21085744445024504;0.2124188780932505;0.22780391926042443;0.2344926202570899;0.24209254850323264;0.24888338523634815;0.25983218790917;0.2692765463101324;0.27250188694052624;0.28840541165020556;0.29401164974273203;0.30671328663691627;0.3082549617648352;0.30984541875559724;0.3146531336518989;0.31745910083128176;0.31712191284384245;0.32097905833792034;0.3199872180337417;0.31828385637595474;0.3164279202451211;0.30985746099654504;0.30980397012387817;0.3014528957663234;0.29640871169641914;0.2849947807646862;0.276790009577376;0.27124782051926477;0.2692917261800748;0.2556235893113521;0.24779052052702488;0.23797237165799778;0.2334665756956262;0.22393839137431013;0.2160782995420287;0.20650936915044807;0.20126897183264997;0.19456086869206324;0.18567624312017367;0.1798012582553771;0.17448636835539777;0.16620837068098177;0.1661185827247439;0.1622802463090596;0.15136645780101046;0.15033033688871716;0.14908338181672853;0.1417388553226778;0.13830558989710048;0.1383619521997587;0.12812788203451322;0.12904719252469535;0.1242961331902228;0.1181867343404649;0.1182982443859712;0.11446927565050864;0.11039823986933214;0.11089052672301361
Multivariate_threshold|Rh kb Compton <= 0.042957;0.1637229294356061;0.1642142987938628;0.1642720012080625;0.16581701208048355;0.16611587769116115;0.1702173641049152;0.17005258911492818;0.1758949605394815;0.17384048342087172;0.17965804737533886;0.18022454311611597;0.18471995476416278;0.18865727368548857;0.19291926312102656;0.20222295644928603;0.20840650195573704;0.2131225814212828;0.22150336567999804;0.2304370501204958;0.23851381367240798;0.2506453074773762;0.2574852409899955;0.26704027715616674;0.27772281755217765;0.2892781016428079;0.2996682878843769;0.3027307806778589;0.3154887516524278;0.3287999664439708;0.33598020455826944;0.34307847162532784;0.34542592612233464;0.34863255195015425;0.3532549389235039;0.35271396102499936;0.3594559470098378;0.35457365920104406;0.35435865013447415;0.3513329610312025;0.3442308110183997;0.3444230866834236;0.33203517182095227;0.328399308019621;0.31786707532704733;0.3139120959719325;0.3037914673084314;0.30161948539342287;0.2822907887558465;0.2757269585236415;0.26688519375289765;0.2545010154716731;0.24696312724558317;0.2376702651367048;0.229856532014022;0.22232425407595333;0.21368319627817683;0.20685951366137265;0.19993398564079604;0.19510860651969308;0.18963426879096174;0.18270105600694952;0.17828486062797347;0.16886055503677813;0.16955644541120046;0.16408868114054861;0.1571873153122454;0.15203140320196631;0.1514748191468085;0.14685042747977223;0.14003278240576608;0.13945832397811767;0.13534550977161974;0.1321345791400321;0.1287173767619087;0.12337627964467121;0.12167882558442014
