B;3.47;3.67;3.75;4.15;4.47;4.97;5.52;6.02;6.39;6.92;6.57;6.18;5.68;5.3;4.6;4.65;4.32;4.2;4.04;4.36
B;3.37;3.53;3.66;4.1;4.28;4.71;5.52;6.27;6.45;6.62;6.11;5.78;5.44;4.77;4.46;4.21;4.15;4.14;4.02;4.22
B;3.61;3.57;3.63;3.97;4.36;5.15;5.76;6.65;7.81;8.05;7.72;6.9;6.52;5.57;4.86;4.31;4.03;4.25;4.02;4.1
B;3.35;3.69;3.75;3.99;4.47;5.25;5.74;6.44;7.15;7.36;7.22;6.8;6.33;5.63;4.78;4.52;4.29;4.19;4.03;4.1
B;3.44;3.52;3.53;3.43;3.78;3.94;4.32;4.47;4.65;4.68;4.69;4.64;4.36;4.04;4.01;3.78;3.97;3.64;3.77;3.82
B;3.45;3.82;4.15;4.28;4.89;5.91;6.93;8.19;9.08;9.4;8.89;8.52;7.33;6.33;5.57;4.84;4.55;4.3;4.28;4.37
B;3.55;3.79;3.97;4.43;5.09;5.91;6.82;8.02;8.51;9.27;8.97;8.12;6.89;5.89;5.11;4.68;4.55;4.32;4.28;4.17
B;3.72;3.64;3.86;4.37;4.93;5.6;6.71;7.34;8.32;8.56;8.17;7.11;6.55;5.7;4.8;4.5;4.16;4.24;4.26;4.24
B;3.55;3.73;4.02;4.06;4.67;5.83;6.52;7.89;8.84;9.24;8.96;8.49;7.4;6.07;5.37;4.82;4.51;4.17;3.98;4.15
B;3.46;3.65;3.59;3.8;4.24;4.65;5.38;5.87;6.36;6.79;6.63;6.36;5.71;4.99;4.67;4.17;4.01;4.01;4.0;3.84
B;3.29;3.66;3.66;4.09;4.19;4.69;5.6;6.39;6.27;6.66;6.52;5.99;5.79;5.13;4.51;4.28;4.13;3.89;4.18;4.13
B;3.74;3.65;3.9;4.04;4.47;4.91;5.55;6.26;6.95;7.03;6.84;6.39;5.77;5.29;4.76;4.39;4.33;4.52;4.18;4.25
B;3.15;3.4;3.57;3.91;4.31;4.99;5.9;6.5;6.95;7.53;7.43;6.81;5.99;5.4;4.65;4.42;3.97;3.97;3.83;4.02
