split_seed;Node;Local_Reaching_Centrality;Zone;Threshold;Operator;smx_seeds_used;smx_seed_number;method;model
0;Zn kb <= 0.29;0.0004410544063946466;Zn kb;0.29;<=;3;10;perturbation;pls
0;background2 <= -0.41;0.0003236493152794857;background2;-0.41;<=;3;10;perturbation;pls
0;background3 > -2.74;0.0002767886453170703;background3;-2.74;>;3;10;perturbation;pls
0;Zn kb > -0.33;0.0002361115307793972;Zn kb;-0.33;>;3;10;perturbation;pls
0;Zn kb <= 1.04;0.0002288392030398011;Zn kb;1.04;<=;3;10;perturbation;pls
0;Zn kb > -0.98;1.4445923441288737e-05;Zn kb;-0.98;>;3;10;perturbation;pls
0;Class_B;0.0;;;;3;10;perturbation;pls
0;Class_A;0.0;;;;3;10;perturbation;pls
0;Ti ka <= -4.13;9.15991693248008;Ti ka;-4.13;<=;4;10;perturbation;pls
0;Ti ka <= 9.01;7.17813733147806;Ti ka;9.01;<=;4;10;perturbation;pls
0;Ti ka > 9.01;6.320835289458321;Ti ka;9.01;>;4;10;perturbation;pls
0;Ti ka <= 19.94;5.574811290137157;Ti ka;19.94;<=;4;10;perturbation;pls
0;Ti ka > -28.37;4.7972004240267;Ti ka;-28.37;>;4;10;perturbation;pls
0;Ti ka > -4.13;3.652791774780125;Ti ka;-4.13;>;4;10;perturbation;pls
0;Ca ka > -5.57;2.618094586195325;Ca ka;-5.57;>;4;10;perturbation;pls
0;Ca ka > -16.00;1.8126504592652193;Ca ka;-16.00;>;4;10;perturbation;pls
0;Cu ka > -10.06;1.613913159879176;Cu ka;-10.06;>;4;10;perturbation;pls
0;Ca ka > -26.76;1.4477565355645556;Ca ka;-26.76;>;4;10;perturbation;pls
0;Ti kb > 2.01;1.23802940891304;Ti kb;2.01;>;4;10;perturbation;pls
0;Cu ka > -11.21;1.2148022992703493;Cu ka;-11.21;>;4;10;perturbation;pls
0;Ti kb <= -2.76;1.119187974198407;Ti kb;-2.76;<=;4;10;perturbation;pls
0;Ca ka <= -16.00;1.0455501577467357;Ca ka;-16.00;<=;4;10;perturbation;pls
