energy;Reg_coef;Abs_Reg_coef;Zone
18.7;-0.02014616957176399;0.02014616957176399;Rh ka Compton
6.24;0.020130139668083576;0.020130139668083576;Fe
13.04;0.0200947482572609;0.0200947482572609;Rb ka + Br kb
8.84;0.020049395329133447;0.020049395329133447;background2
19.94;-0.019970942540631097;0.019970942540631097;Rh ka Rayleigh
2.96;0.019952860256469453;0.019952860256469453;Cl
13.02;-0.019907273183089227;0.019907273183089227;Rb ka + Br kb
7.08;0.01987850797446258;0.01987850797446258;Fe
21.82;-0.019854452396835327;0.019854452396835327;Rh kb Compton
14.9;0.01981689953183632;0.01981689953183632;background3
9.92;-0.01974500354098116;0.01974500354098116;background2
18.74;-0.019726402532930065;0.019726402532930065;Rh ka Compton
6.44;0.01967882311853424;0.01967882311853424;Fe
7.32;0.019670798319577493;0.019670798319577493;Cu
14.26;0.019662146347922252;0.019662146347922252;background3
12.82;0.019565300986500136;0.019565300986500136;Rb ka + Br kb
10.86;0.01955181826345774;0.01955181826345774;background2
19.64;-0.019504096592854542;0.019504096592854542;Rh ka Compton
18.2;-0.019409470135720103;0.019409470135720103;Rh ka Compton
19.18;-0.019388388332564763;0.019388388332564763;Rh ka Compton
9.1;0.019369768672486704;0.019369768672486704;background2
7.06;-0.019351611357416178;0.019351611357416178;Fe
21.2;-0.01930858732299852;0.01930858732299852;Rh kb Compton
15.7;-0.01921071296883611;0.01921071296883611;background3
22.72;-0.019199855754857734;0.019199855754857734;Rh kb Rayleigh
20.68;-0.019095451503025745;0.019095451503025745;Rh ka Rayleigh
18.84;-0.01901154327425626;0.01901154327425626;Rh ka Compton
13.7;-0.018953163970019823;0.018953163970019823;Rb ka + Br kb
17.22;0.018945050278543808;0.018945050278543808;Rh ka Compton
11.74;0.018929410140776325;0.018929410140776325;Br ka
9.72;-0.01892183335953455;0.01892183335953455;background2
6.32;0.018821289953459795;0.018821289953459795;Fe
21.36;0.01880702384148211;0.01880702384148211;Rh kb Compton
4.38;0.01880532309228167;0.01880532309228167;background1
16.74;-0.01880259770990365;0.01880259770990365;background3
19.26;-0.018724683112870524;0.018724683112870524;Rh ka Compton
3.4;-0.018704049148312602;0.018704049148312602;K ka
21.58;-0.018628738329592155;0.018628738329592155;Rh kb Compton
22.74;0.018597707736059822;0.018597707736059822;Rh kb Rayleigh
12.94;-0.018555258922326696;0.018555258922326696;Rb ka + Br kb
2.86;0.01849887299213763;0.01849887299213763;Cl
5.16;-0.018471245240817977;0.018471245240817977;background1
11.92;-0.018446819848215484;0.018446819848215484;Br ka
2.9;0.018429334814035893;0.018429334814035893;Cl
8.92;0.018342749156134056;0.018342749156134056;background2
19.46;-0.018321272238689353;0.018321272238689353;Rh ka Compton
14.2;-0.018244958076991065;0.018244958076991065;background3
4.54;-0.018172041126288424;0.018172041126288424;background1
