energy;VIP_Score;Zone
10.3;0.18606629981045483;background1
13;0.18589705457703293;sum Fe
4.32;0.18515574950563854;Ca kb
9.34;0.18481011896295962;background1
9.82;0.1847022467530203;background1
10.5;0.18392384480991525;background1
10.46;0.18351023751285828;background1
9.72;0.1829138376028308;background1
10.24;0.18255552246433576;background1
10.34;0.1821449224951889;background1
10.52;0.18122663910872144;background1
10.64;0.1809969298022653;background1
8.52;0.18099246480754844;Zn
2.1;0.1808170608722374;P
10.58;0.18078117574219785;background1
10.26;0.18063077517654005;background1
9.56;0.18052561409782097;background1
8.48;0.18023279867710892;Zn
9.14;0.180103460750334;background1
9.44;0.17950706261681787;background1
9.52;0.17941271059735278;background1
9.58;0.17912914423630205;background1
3.26;0.17884597539563307;K
9.64;0.17880338453687417;background1
10.44;0.17841244532002334;background1
10.36;0.17821012803866276;background1
9.62;0.17794893629176284;background1
10.32;0.17752002363743097;background1
9.5;0.17737768210029456;background1
9.4;0.1772619481891639;background1
9.88;0.17680899668805267;background1
8.38;0.17676764275641715;Zn
9.54;0.1766906112462305;background1
10.68;0.176591374878141;background1
8.4;0.17656412837607996;Zn
7.82;0.1764633607200717;Ni
4.16;0.17629801399247075;Ca kb
9.86;0.17628964704623823;background1
8.3;0.17623043355840562;Zn
10.7;0.17607577299039623;Fe ka + Ti ka
9.96;0.17548297865589674;background1
9.68;0.17540078465530676;background1
10.62;0.17529858569337198;background1
8.72;0.17486673961370086;Zn
11.26;0.17486028882368504;background2
7.86;0.17464940919997698;Ni
10.54;0.174628941220571;background1
9.9;0.17400115954888667;background1
10.48;0.17400033313733954;background1
8.46;0.17370036038824777;Zn
7.32;0.17364132549166847;Ni
9.7;0.1734052215304652;background1
9.76;0.17337293699879558;background1
8.44;0.17333975489719827;Zn
11.24;0.17313816324646056;background2
10.66;0.17278442126417917;background1
8.42;0.1727620052822432;Zn
9.94;0.17263909516824397;background1
8.54;0.17248332020777105;Zn
8.28;0.17234595088464857;Zn
9.66;0.17228568148899512;background1
7.76;0.17199160660713386;Ni
7.78;0.17105216571019144;Ni
9.1;0.17099541134861518;background1
9.48;0.17089583712487977;background1
11.62;0.17084666625885356;background2
11.2;0.1704455853153676;background2
8.36;0.17037613153885575;Zn
7.62;0.17033581540712053;Ni
11.28;0.17004048607941202;background2
9.6;0.169990168423353;background1
11.96;0.1699742445923918;background2
10.86;0.16979848390454866;Fe ka + Ti ka
10.56;0.16970862164911413;background1
7.84;0.1693952317745396;Ni
10.28;0.1689550848016479;background1
10.2;0.16887035310053392;background1
10.88;0.16819163539343748;Fe ka + Ti ka
4.3;0.1679148805155276;Ca kb
11.14;0.1675656105392946;background2
7.66;0.1674824414882786;Ni
9.8;0.16716134636493576;background1
10.6;0.16710266281964845;background1
11.22;0.16701265957989658;background2
8.34;0.16676104857835122;Zn
10.42;0.16663944494307806;background1
9.92;0.16661699995989604;background1
9.84;0.16647947866011467;background1
10.4;0.1663493153527118;background1
10.18;0.16592280634447587;background1
2.54;0.16578913151094973;S
9.12;0.16571075553647663;background1
11.58;0.16559530561982336;background2
9.04;0.1654749187581551;background1
8.58;0.16467412660753633;Zn
10.76;0.16465723124451534;Fe ka + Ti ka
11.5;0.1641588233773426;background2
9.02;0.16375186201806455;background1
9.08;0.16364811010225686;background1
4.28;0.163340701690981;Ca kb
9.78;0.16268584205941572;background1
11.9;0.16261544474626047;background2
10.74;0.16243934106647895;Fe ka + Ti ka
11.64;0.1624250233374007;background2
7.36;0.16228856804623093;Ni
11.46;0.16226471103909731;background2
4.24;0.16220102655636937;Ca kb
10.38;0.16217159956735275;background1
8.5;0.16181421416355693;Zn
8.64;0.16157957461646516;Zn
11.74;0.161535353738785;background2
8.76;0.16153168900014506;Zn
2;0.1609658868037272;P
8.7;0.16082993830743533;Zn
12;0.16071238691957873;background2
11.84;0.16011775940711268;background2
11.8;0.1599406792367792;background2
9;0.15993156847668102;background1
10.22;0.1598997781150064;background1
7.8;0.15987960491377187;Ni
10.02;0.15983314063898477;background1
8.6;0.15966947113471544;Zn
8.24;0.1596330574407176;Zn
9.98;0.15947905418808422;background1
10.84;0.1594427305442631;Fe ka + Ti ka
10.72;0.15932435828196037;Fe ka + Ti ka
7.34;0.15924831720294302;Ni
9.06;0.15915824249789004;background1
11.94;0.15891305402973574;background2
10.06;0.15891221947700476;background1
2.12;0.15883903704455174;P
3.82;0.15882434336356535;Ca ka
8.78;0.1587565162508756;Zn
11.3;0.15870297464997274;background2
11.72;0.1586674094951653;background2
10.78;0.1585397341374533;Fe ka + Ti ka
11.18;0.15836994067017768;background2
11.04;0.15831111459898148;Fe ka + Ti ka
4.26;0.15785122689640063;Ca kb
8.56;0.1575440816269146;Zn
11.6;0.15738306201999552;background2
4.2;0.15692999229745835;Ca kb
8.82;0.15681730937256708;Zn
9.74;0.15665711247980907;background1
7.7;0.15662672194678381;Ni
8.26;0.1563253108205104;Zn
11.12;0.15607736445742348;Fe ka + Ti ka
11.92;0.15603131213018956;background2
11.76;0.15579636455325407;background2
11.68;0.15557046974568198;background2
11.06;0.15541690514516304;Fe ka + Ti ka
11.7;0.155377798802418;background2
7.72;0.15536787252550938;Ni
4.22;0.15405284354128612;Ca kb
4.18;0.15392985207808987;Ca kb
8.68;0.15392556431789203;Zn
7.64;0.15386150519831032;Ni
12.02;0.1537321895128165;background2
10;0.15359355116302806;background1
11.48;0.15339653055092142;background2
11.66;0.15336184557240495;background2
11.08;0.1529957210492819;Fe ka + Ti ka
7.74;0.15295642811333127;Ni
11.16;0.15228797666043045;background2
7.88;0.1522072047669981;Ni
1.62;0.1520186891988083;Al
8.62;0.15152486690471909;Zn
11.86;0.15152121137576047;background2
11.42;0.15145801069094453;background2
10.16;0.1513615563133768;background1
7.52;0.15118385176788404;Ni
7.68;0.15055638710713798;Ni
10.12;0.15051193871294635;background1
11.56;0.15045334628148074;background2
11.54;0.1500635462971733;background2
10.08;0.14999788732597924;background1
11.38;0.14959187723214357;background2
12.08;0.14953272012109883;background2
7.6;0.14947106604177512;Ni
8.16;0.14927917514530997;Cu
8.32;0.1487930745909949;Zn
8.66;0.1486658567173367;Zn
11.88;0.14856818857297568;background2
7.56;0.14846943836768556;Ni
12.12;0.14843979089354817;background2
11.98;0.14842328310984998;background2
3.06;0.14842088864498612;Rh L + Ar
7.38;0.14776149879208259;Ni
7.3;0.14736023485354333;Ni
10.82;0.14711128026530823;Fe ka + Ti ka
8.74;0.14695995516012245;Zn
10.1;0.1462091367856469;background1
11.78;0.14583843842926503;background2
12.18;0.1455428816909;background2
12.1;0.1454828790244347;background2
11.36;0.14483579073310543;background2
1.88;0.14455391425644973;P
12.04;0.14409949311081457;background2
7.54;0.14320846866259682;Ni
12.2;0.14292085860993714;background2
11.82;0.14287579993029775;background2
3.56;0.14282485825201777;Ca ka
3.04;0.14251573223314676;Rh L + Ar
11.1;0.1424831436367545;Fe ka + Ti ka
12.16;0.14230903530514571;background2
12.14;0.14180592581349863;background2
8.84;0.14118900883765545;Zn
8.18;0.14088766071707595;Cu
11.34;0.14053751201818376;background2
3.38;0.1404389303183027;K
10.04;0.1403034144915487;background1
1.6;0.14002125878971847;Al
10.8;0.1393193980146713;Fe ka + Ti ka
8.98;0.13909908323052037;Zn
11.52;0.13881389571221664;background2
2.14;0.138583073697839;P
13.02;0.13857067805754553;sum Fe
11.44;0.13838243970758315;background2
11.4;0.13781898765325062;background2
7.58;0.13717531606960254;Ni
3.94;0.13709039645707238;Ca kb
8.2;0.1364787806878868;Zn
7.4;0.1362818318875205;Ni
8.22;0.13620934371099927;Zn
3.08;0.1358811613011191;Rh L + Ar
12.22;0.13519464726994435;background2
11.32;0.13452309293928996;background2
12.56;0.13379163503570482;sum Fe
7.96;0.1334338711379792;Cu
8.8;0.13323583902891567;Zn
10.14;0.13318237757106918;background1
12.06;0.13206221601953333;background2
2.92;0.1303668871878788;Rh L + Ar
12.5;0.13029974701894556;background2
12.54;0.12950711409327859;background2
12.28;0.12924912877613567;background2
12.38;0.12858924760466905;background2
7.9;0.12779230181337442;Ni
12.48;0.126897867096779;background2
7.44;0.12675835593715554;Ni
7.5;0.1255838497672706;Ni
1.38;0.12504893307526782;Al
2.16;0.12474310342609189;P
12.4;0.12424135279396606;background2
12.44;0.12283642832379356;background2
12.26;0.12268659910187263;background2
3.02;0.12181422502516634;Rh L + Ar
12.42;0.12102447109892736;background2
8.96;0.1206692578696024;Zn
12.52;0.11977556693833867;background2
12.66;0.11964102621393645;sum Fe
12.24;0.11834621514865795;background2
12.3;0.11685944559658151;background2
13.04;0.11664484247002349;sum Fe
8.86;0.11637414082832935;Zn
1.9;0.11613639735261737;P
12.34;0.11595947881926566;background2
12.46;0.11576437259820475;background2
13.06;0.11390766919255307;sum Fe
7.42;0.11371277254355248;Ni
8.94;0.11366247839123435;Zn
8.88;0.11341201325192647;Zn
3.1;0.11285553404148219;Rh L + Ar
7.48;0.11094009541720638;Ni
8.9;0.11052032433764096;Zn
7.46;0.11017376532630445;Ni
8.92;0.10813307911550116;Zn
12.32;0.10786019390987768;background2
3.24;0.10775687729732071;K
13.1;0.10611275523328277;sum Fe
7.92;0.10433304078064812;Cu
12.58;0.10387111427521611;sum Fe
3.84;0.10371445923906973;Ca kb
12.36;0.10329383975928286;background2
1.98;0.1032062206869716;P
3.92;0.09657474240017633;Ca kb
3.4;0.09553499813301153;K
3.12;0.09522068857560519;Rh L + Ar
3.86;0.09471452819097406;Ca kb
12.6;0.09395786475176177;sum Fe
12.62;0.09361074790527073;sum Fe
2.18;0.09337635708915505;P
7.94;0.08685226056795799;Cu
13.08;0.08501885529613241;sum Fe
3.88;0.08272428001941899;Ca kb
2.52;0.08181787868149788;S
3.9;0.08178787902715197;Ca kb
3.44;0.08175394663213098;K
3;0.0801804253081323;Rh L + Ar
1.36;0.07979523379275047;Al
3.14;0.07959417262246661;Rh L + Ar
12.64;0.07958722285454355;sum Fe
3.16;0.07951831400432643;Rh L + Ar
3.46;0.07478746938457445;K
3.42;0.07434441674276186;K
1.92;0.0732774942097554;P
3.54;0.07290776819369453;Ca ka
3.5;0.07192414958242033;K
3.48;0.07013385428544362;K
3.18;0.06252779081333122;Rh L + Ar
3.52;0.06135215320543856;K
2.3;0.061107340717758085;S
2.32;0.05749242542658053;S
2.2;0.055784594183710914;S
2.5;0.05192991894566126;S
2.94;0.050843125440936394;Rh L + Ar
1.32;0.04955381868928838;
3.22;0.04802382454694279;K
1.34;0.047784876833545;Al
1.94;0.0466356343540351;P
2.42;0.04600981072887579;S
2.48;0.04467180522768267;S
2.46;0.04385504282445531;S
3.2;0.04194175068794467;Rh L + Ar
2.38;0.04191217828905534;S
2.26;0.04058824894764247;S
2.28;0.039491187704981195;S
2.4;0.03910830024810212;S
2.34;0.03643627858876126;S
2.44;0.03638066377028011;S
1.96;0.0329406081091169;P
2.22;0.030414727704703395;S
2.98;0.029773491427971355;Rh L + Ar
2.36;0.029020080542855143;S
2.96;0.02733896600779499;Rh L + Ar
2.24;0.017906455622228777;S
