A;0.011333333;0.0084;0.006566667;0.0053;0.003933333;0.002966667;0.0026;0.002166667;0.0018;0.001966667;0.001766667;0.0017;0.0017;0.0019;0.002066667;0.0022;0.0021;0.0021;0.0022;0.002166667;0.001866667;0.0018;0.0016;0.001433333;0.001466667;0.001333333;0.001266667;0.0013;0.001266667;0.001266667;0.001433333
A;0.0112;0.008433333;0.006166667;0.004766667;0.003933333;0.003066667;0.002566667;0.0023;0.0021;0.002;0.001966667;0.002066667;0.002166667;0.002333333;0.0024;0.002333333;0.002566667;0.002433333;0.002333333;0.002266667;0.0022;0.0021;0.0019;0.001733333;0.0017;0.0015;0.001433333;0.0014;0.0014;0.001566667;0.001433333
A;0.009533333;0.007166667;0.005366667;0.004466667;0.003666667;0.002833333;0.002466667;0.0021;0.001966667;0.001766667;0.001933333;0.001933333;0.002033333;0.002233333;0.0023;0.002533333;0.0023;0.0025;0.0025;0.0022;0.002;0.002033333;0.001966667;0.001766667;0.0016;0.001533333;0.0015;0.001466667;0.001233333;0.001566667;0.001533333
A;0.008666667;0.0067;0.005266667;0.003966667;0.003266667;0.0025;0.002266667;0.002133333;0.001966667;0.0017;0.001966667;0.001933333;0.002066667;0.002233333;0.002366667;0.002266667;0.0026;0.0025;0.002666667;0.002366667;0.002433333;0.002066667;0.001933333;0.001833333;0.001733333;0.001566667;0.001633333;0.001566667;0.001633333;0.001466667;0.001566667
A;0.012066667;0.009066667;0.007;0.005333333;0.004166667;0.003166667;0.002633333;0.002333333;0.001933333;0.0018;0.0018;0.001733333;0.001866667;0.001833333;0.001866667;0.002;0.002166667;0.002133333;0.0022;0.002066667;0.002;0.0018;0.001633333;0.0016;0.0014;0.001366667;0.001266667;0.001233333;0.0015;0.001333333;0.001333333
A;0.011266667;0.008466667;0.006233333;0.005166667;0.003833333;0.003333333;0.002766667;0.002366667;0.002066667;0.001966667;0.001966667;0.0021;0.002233333;0.0022;0.002433333;0.002666667;0.002466667;0.002233333;0.002533333;0.002533333;0.002333333;0.002166667;0.002;0.001666667;0.001566667;0.001433333;0.001366667;0.0014;0.001433333;0.001433333;0.001566667
A;0.013533333;0.010066667;0.007166667;0.005833333;0.004366667;0.0034;0.002666667;0.0022;0.001933333;0.001733333;0.001733333;0.0017;0.001666667;0.0017;0.001933333;0.0019;0.001966667;0.002033333;0.001933333;0.001966667;0.001833333;0.001566667;0.001466667;0.001466667;0.0013;0.001266667;0.0012;0.001166667;0.001166667;0.001266667;0.001266667
A;0.008766667;0.0066;0.005233333;0.004333333;0.0034;0.002766667;0.002333333;0.0021;0.0021;0.002166667;0.002133333;0.002433333;0.0025;0.002566667;0.0028;0.002833333;0.003066667;0.002966667;0.003;0.002966667;0.002633333;0.002466667;0.002266667;0.002033333;0.0018;0.001866667;0.001666667;0.001766667;0.001633333;0.001566667;0.0016
B;0.012133333;0.0093;0.006966667;0.005566667;0.004066667;0.003333333;0.002666667;0.0021;0.002166667;0.001866667;0.0017;0.001666667;0.001833333;0.002033333;0.002266667;0.002133333;0.0022;0.002166667;0.002066667;0.001966667;0.001933333;0.001766667;0.001666667;0.001433333;0.0014;0.001366667;0.001266667;0.001233333;0.0012;0.001266667;0.0014
B;0.011733333;0.009;0.006633333;0.005266667;0.004066667;0.003133333;0.002766667;0.0023;0.002;0.001833333;0.001766667;0.001666667;0.001733333;0.002;0.002233333;0.0022;0.002233333;0.002466667;0.002066667;0.002033333;0.0018;0.001666667;0.001666667;0.001566667;0.001633333;0.0015;0.001266667;0.0013;0.001433333;0.001366667;0.001233333
B;0.011433333;0.008833333;0.006566667;0.005033333;0.003833333;0.0032;0.002566667;0.0023;0.001733333;0.0016;0.0017;0.001733333;0.001866667;0.001766667;0.0021;0.002066667;0.002033333;0.0022;0.002033333;0.002066667;0.001866667;0.001666667;0.0016;0.0015;0.0014;0.0013;0.001333333;0.0014;0.0013;0.001233333;0.0013
B;0.0106;0.008066667;0.006066667;0.004833333;0.003766667;0.0031;0.0026;0.0025;0.002133333;0.002366667;0.0021;0.002266667;0.002366667;0.002533333;0.0026;0.002666667;0.0027;0.0026;0.002633333;0.0026;0.0024;0.002133333;0.001966667;0.001833333;0.001666667;0.0016;0.001466667;0.0016;0.001466667;0.001533333;0.001466667
B;0.012666667;0.0097;0.007366667;0.005466667;0.004133333;0.0031;0.002566667;0.0023;0.001966667;0.0018;0.001533333;0.001566667;0.0017;0.001733333;0.001933333;0.0019;0.0021;0.002066667;0.001866667;0.001966667;0.001766667;0.001766667;0.001466667;0.001333333;0.001333333;0.001366667;0.001266667;0.001266667;0.0012;0.001133333;0.001366667
B;0.011433333;0.0088;0.006066667;0.004966667;0.003966667;0.003233333;0.0026;0.002233333;0.002033333;0.0018;0.001866667;0.002;0.0019;0.002133333;0.002333333;0.002166667;0.0022;0.002166667;0.002066667;0.002133333;0.001833333;0.001866667;0.0018;0.0016;0.0014;0.001233333;0.001233333;0.001266667;0.0013;0.0013;0.001233333
