B;0.0791;0.0706;0.0683;0.0726;0.0774;0.0749;0.076;0.0814;0.0766;0.0769;0.0857;0.0811;0.0754;0.0769;0.0791;0.0743;0.0791;0.0811;0.0909;0.0857;0.0854;0.084;0.0903;0.0946;0.0966;0.0943;0.1017;0.0943;0.1063;0.1071;0.0969;0.1123;0.1154;0.1251;0.1271;0.1394;0.1311;0.1389;0.1271;0.1146;0.112;0.1014;0.096;0.0991;0.0951;0.086;0.0917;0.0906;0.0883;0.086;0.0857;0.0903
B;0.0685;0.0703;0.0644;0.0667;0.0736;0.0674;0.0713;0.07;0.0769;0.0667;0.0792;0.0649;0.0692;0.0723;0.0662;0.0715;0.0692;0.0792;0.0792;0.0759;0.0831;0.0797;0.0874;0.0887;0.0967;0.0951;0.0974;0.0918;0.1041;0.1067;0.1059;0.1136;0.11;0.1233;0.1144;0.1259;0.1208;0.1274;0.1177;0.1221;0.1069;0.1005;0.0903;0.1015;0.0838;0.09;0.0885;0.0862;0.0841;0.0841;0.0951;0.0838
Multivariate_threshold|Cu <= -0.026106;0.06803149319823985;0.06812582546798913;0.06780743097394851;0.07036585396960016;0.06998384045632174;0.07040162998337124;0.07206190334220573;0.07206101156337091;0.07360111308687761;0.07123862296191963;0.0722519645825164;0.07222280227307164;0.07266136086711913;0.074760938059081;0.07366557076938157;0.07483834502034191;0.0738431339382054;0.07537501285240307;0.07766727667859395;0.0797953455529214;0.0805356368534301;0.08035776111076198;0.08568864202293916;0.0867617462964934;0.09205353025787073;0.09318743314953944;0.09640107013484808;0.09873594915336528;0.10356926672640325;0.10428192220422838;0.10485729430510618;0.1070613479342384;0.11383737481635385;0.11780455473041675;0.11995975521058468;0.12572493029502516;0.12453158147491715;0.12388331108957788;0.1195640090627716;0.11246079042721256;0.10954554049647902;0.10063681389330448;0.09379921830172994;0.09188876422267403;0.08920464655464723;0.08839603962686389;0.086361018455274;0.08648849199303456;0.08636983162029128;0.08743253964523634;0.08769024352967501;0.08755823578707629
Multivariate_threshold|Cu <= 0.006302;0.07236098345529707;0.0723914139091978;0.0715638210407532;0.07383099216820331;0.07356852562600971;0.07557215453003535;0.07545509661022322;0.0763302114478761;0.07747766443723983;0.07676520487384293;0.07786839075511538;0.07642120594178703;0.07698924195651716;0.07823809040912473;0.07752121844430825;0.07788836040273434;0.07737785742987742;0.07941401797078723;0.08210013199716391;0.08233715004117523;0.08399099506066866;0.08549998421310596;0.08972255069884252;0.09231282598548013;0.09538026868432377;0.09690953391147707;0.10063236381390747;0.10332001300857381;0.10875040997600433;0.1092700102940085;0.1105143959663232;0.11120598909142813;0.12051233398165603;0.12394093174969716;0.1255546870407831;0.13086652956623263;0.12994276361732518;0.1290056391206381;0.12474576775314793;0.11730367872823706;0.11207823575436457;0.10430943579766672;0.09744166252184618;0.09534319581941537;0.09461970860024586;0.0920128724733016;0.09119771219617548;0.09045756059973949;0.09214733343348881;0.09158338632715404;0.09164531479168708;0.09249296769970002
Multivariate_threshold|Cu > 0.027652;0.07521318463405555;0.07520151756061089;0.07403847268339238;0.07611377158744484;0.07593006073970957;0.07897841608305681;0.07769047982260469;0.07914269426224275;0.08003147647388734;0.08040603150880274;0.08156840539859099;0.07918704930482376;0.079840383040525;0.08052878456540598;0.0800612594630812;0.07989766333503937;0.07970647856330038;0.08207485203569563;0.08502042847878362;0.08401165150142306;0.086267331572953;0.08888760121259856;0.0923800273063164;0.09596979137684512;0.09757187247552848;0.09936159629072636;0.1034198746067576;0.10633992333404865;0.11216366696618708;0.11255608553259608;0.11424120699221216;0.11393641454389294;0.12490969377901473;0.1279834819642793;0.12924054154412867;0.13425373559542678;0.13350756667003916;0.1323801495550623;0.12815943018618894;0.12049409859308424;0.11374673619461899;0.10672890227127327;0.09984124840409714;0.09761892189504423;0.09818706767313697;0.09439558597893119;0.09438405118067977;0.09307232157308133;0.09595346221620647;0.0943178998832738;0.09425085453096625;0.09574389271450977
Multivariate_threshold|Cu <= 0.014251;0.0734229536501439;0.07343770978217333;0.07248521687590095;0.0746809475369545;0.07444780438218956;0.07684041999184826;0.07628740478094048;0.07737739316304405;0.07842853434303702;0.07812080678570203;0.07924603034839901;0.07745102222439529;0.07805081744252042;0.07909099270002813;0.07846696093811066;0.07863649129981751;0.07824488120688254;0.08040473576846932;0.0831874563579743;0.08296062311707682;0.08483855151898967;0.08676130768208495;0.09071201840247357;0.09367443689783045;0.09619627630766604;0.09782251900595818;0.10167024760761281;0.10444442694565817;0.1100212800737807;0.11049352635851108;0.1119020127518416;0.11222261809760187;0.12214961857279605;0.12544610882873006;0.12692705433880055;0.13212770001718077;0.13127005939879915;0.1302620825756955;0.1260167888109037;0.11849157908770251;0.11269947444917862;0.1052102843428313;0.09833510885582288;0.09619052499168841;0.09594795607379043;0.09290003665536643;0.09238409310696909;0.09143112383960408;0.09356448288111446;0.09260153747148106;0.09261544465672272;0.09370339615654284
Multivariate_threshold|Cu <= 0.027652;0.07521318463405555;0.07520151756061089;0.07403847268339238;0.07611377158744484;0.07593006073970957;0.07897841608305681;0.07769047982260469;0.07914269426224275;0.08003147647388734;0.08040603150880274;0.08156840539859099;0.07918704930482376;0.079840383040525;0.08052878456540598;0.0800612594630812;0.07989766333503937;0.07970647856330038;0.08207485203569563;0.08502042847878362;0.08401165150142306;0.086267331572953;0.08888760121259856;0.0923800273063164;0.09596979137684512;0.09757187247552848;0.09936159629072636;0.1034198746067576;0.10633992333404865;0.11216366696618708;0.11255608553259608;0.11424120699221216;0.11393641454389294;0.12490969377901473;0.1279834819642793;0.12924054154412867;0.13425373559542678;0.13350756667003916;0.1323801495550623;0.12815943018618894;0.12049409859308424;0.11374673619461899;0.10672890227127327;0.09984124840409714;0.09761892189504423;0.09818706767313697;0.09439558597893119;0.09438405118067977;0.09307232157308133;0.09595346221620647;0.0943178998832738;0.09425085453096625;0.09574389271450977
Multivariate_threshold|Cu > 0.014251;0.0734229536501439;0.07343770978217333;0.07248521687590095;0.0746809475369545;0.07444780438218956;0.07684041999184826;0.07628740478094048;0.07737739316304405;0.07842853434303702;0.07812080678570203;0.07924603034839901;0.07745102222439529;0.07805081744252042;0.07909099270002813;0.07846696093811066;0.07863649129981751;0.07824488120688254;0.08040473576846932;0.0831874563579743;0.08296062311707682;0.08483855151898967;0.08676130768208495;0.09071201840247357;0.09367443689783045;0.09619627630766604;0.09782251900595818;0.10167024760761281;0.10444442694565817;0.1100212800737807;0.11049352635851108;0.1119020127518416;0.11222261809760187;0.12214961857279605;0.12544610882873006;0.12692705433880055;0.13212770001718077;0.13127005939879915;0.1302620825756955;0.1260167888109037;0.11849157908770251;0.11269947444917862;0.1052102843428313;0.09833510885582288;0.09619052499168841;0.09594795607379043;0.09290003665536643;0.09238409310696909;0.09143112383960408;0.09356448288111446;0.09260153747148106;0.09261544465672272;0.09370339615654284
Multivariate_threshold|Cu > -0.026106;0.06803149319823985;0.06812582546798913;0.06780743097394851;0.07036585396960016;0.06998384045632174;0.07040162998337124;0.07206190334220573;0.07206101156337091;0.07360111308687761;0.07123862296191963;0.0722519645825164;0.07222280227307164;0.07266136086711913;0.074760938059081;0.07366557076938157;0.07483834502034191;0.0738431339382054;0.07537501285240307;0.07766727667859395;0.0797953455529214;0.0805356368534301;0.08035776111076198;0.08568864202293916;0.0867617462964934;0.09205353025787073;0.09318743314953944;0.09640107013484808;0.09873594915336528;0.10356926672640325;0.10428192220422838;0.10485729430510618;0.1070613479342384;0.11383737481635385;0.11780455473041675;0.11995975521058468;0.12572493029502516;0.12453158147491715;0.12388331108957788;0.1195640090627716;0.11246079042721256;0.10954554049647902;0.10063681389330448;0.09379921830172994;0.09188876422267403;0.08920464655464723;0.08839603962686389;0.086361018455274;0.08648849199303456;0.08636983162029128;0.08743253964523634;0.08769024352967501;0.08755823578707629
Multivariate_threshold|Cu > 0.006302;0.07236098345529707;0.0723914139091978;0.0715638210407532;0.07383099216820331;0.07356852562600971;0.07557215453003535;0.07545509661022322;0.0763302114478761;0.07747766443723983;0.07676520487384293;0.07786839075511538;0.07642120594178703;0.07698924195651716;0.07823809040912473;0.07752121844430825;0.07788836040273434;0.07737785742987742;0.07941401797078723;0.08210013199716391;0.08233715004117523;0.08399099506066866;0.08549998421310596;0.08972255069884252;0.09231282598548013;0.09538026868432377;0.09690953391147707;0.10063236381390747;0.10332001300857381;0.10875040997600433;0.1092700102940085;0.1105143959663232;0.11120598909142813;0.12051233398165603;0.12394093174969716;0.1255546870407831;0.13086652956623263;0.12994276361732518;0.1290056391206381;0.12474576775314793;0.11730367872823706;0.11207823575436457;0.10430943579766672;0.09744166252184618;0.09534319581941537;0.09461970860024586;0.0920128724733016;0.09119771219617548;0.09045756059973949;0.09214733343348881;0.09158338632715404;0.09164531479168708;0.09249296769970002
