A;0.0403;0.0397;0.0515;0.0447;0.0497;0.0397;0.0424;0.0479;0.0453;0.0462;0.0562;0.0579;0.06;0.075;0.0885;0.1;0.11;0.1056;0.1021;0.0938;0.0847;0.0797;0.0724;0.0662;0.0582;0.0638;0.0568;0.0529;0.0647;0.0512;0.0597;0.0694;0.0659;0.0618;0.0612;0.0635;0.0635;0.0597;0.0656
A;0.029;0.0376;0.0407;0.0293;0.0312;0.0327;0.0378;0.039;0.0371;0.0434;0.039;0.039;0.0532;0.0571;0.0607;0.0595;0.0751;0.0785;0.0737;0.0749;0.0634;0.0593;0.05;0.0488;0.0522;0.0476;0.04;0.0459;0.0456;0.052;0.048;0.0507;0.0529;0.0459;0.0415;0.0507;0.0483;0.0524;0.0459
B;0.0432;0.0454;0.0435;0.0351;0.0389;0.0435;0.0438;0.0451;0.0532;0.0443;0.0503;0.0557;0.0608;0.0762;0.0789;0.0816;0.0824;0.0997;0.0922;0.0924;0.0795;0.0676;0.0697;0.0616;0.0603;0.0622;0.0562;0.0578;0.0668;0.0511;0.0565;0.0568;0.0632;0.0578;0.0611;0.0592;0.0619;0.063;0.0627
B;0.0381;0.0397;0.045;0.0414;0.0375;0.0428;0.0403;0.0472;0.0469;0.0461;0.0506;0.0558;0.0586;0.0581;0.0717;0.0786;0.0822;0.09;0.0786;0.08;0.0778;0.0689;0.0636;0.0639;0.0556;0.0594;0.0589;0.0611;0.0569;0.0575;0.0581;0.0603;0.0672;0.0628;0.0603;0.0528;0.0592;0.0586;0.0647
B;0.0357;0.0394;0.0383;0.0389;0.04;0.0483;0.052;0.0503;0.05;0.0546;0.0534;0.0586;0.0597;0.0663;0.076;0.0891;0.0989;0.0926;0.0897;0.0914;0.0926;0.0729;0.066;0.0751;0.0623;0.0571;0.0597;0.056;0.054;0.0591;0.0669;0.0571;0.058;0.0651;0.0597;0.0643;0.0657;0.0634;0.0677
B;0.0384;0.0402;0.0435;0.0477;0.0414;0.0451;0.0474;0.0498;0.0407;0.0479;0.0474;0.0514;0.0598;0.0765;0.0735;0.0812;0.0849;0.0977;0.104;0.0781;0.0707;0.0795;0.0723;0.0614;0.0542;0.0547;0.0486;0.0549;0.0628;0.0537;0.0605;0.0586;0.0565;0.0607;0.0533;0.0653;0.0612;0.0626;0.0581
B;0.0362;0.0348;0.0348;0.0343;0.0408;0.0423;0.0395;0.043;0.0405;0.0473;0.053;0.0575;0.052;0.0665;0.0808;0.0968;0.1015;0.106;0.1078;0.0993;0.088;0.078;0.0673;0.0665;0.0563;0.0512;0.0545;0.0535;0.0545;0.0525;0.051;0.0532;0.0578;0.052;0.0568;0.055;0.059;0.0537;0.0583
B;0.0419;0.0403;0.0414;0.0353;0.0447;0.0481;0.0428;0.0517;0.05;0.0447;0.0603;0.0564;0.0594;0.065;0.0842;0.0911;0.0875;0.0853;0.0906;0.0903;0.0836;0.0689;0.0669;0.0578;0.0694;0.0592;0.0558;0.0556;0.0581;0.0644;0.0628;0.0661;0.0639;0.0622;0.0583;0.0628;0.0631;0.0628;0.0644
B;0.0441;0.033;0.0378;0.0414;0.0368;0.0389;0.0424;0.0384;0.0397;0.0462;0.0516;0.053;0.0643;0.0705;0.0762;0.0932;0.1;0.0903;0.0908;0.0854;0.0749;0.073;0.0589;0.0538;0.0565;0.0543;0.0489;0.0527;0.053;0.0584;0.0519;0.0524;0.0551;0.0511;0.0576;0.0662;0.0597;0.053;0.0627
B;0.0435;0.0355;0.0393;0.04;0.0452;0.0395;0.0455;0.0437;0.0428;0.042;0.052;0.0585;0.062;0.0737;0.0815;0.0885;0.095;0.102;0.0912;0.0907;0.086;0.0685;0.0675;0.0635;0.0605;0.0558;0.0558;0.0543;0.0508;0.0488;0.0643;0.0617;0.062;0.058;0.0563;0.0587;0.057;0.0612;0.0575
