energy;Mean_Abs_SHAP;Zone
2.72;0.0;Rh L + Ar
2.74;0.0;Rh L + Ar
2.76;0.0;Rh L + Ar
2.78;0.0;Rh L + Ar
2.8;0.0;Rh L + Ar
2.64;0.0;Rh L + Ar
2.16;0.0;P
2.18;0.0;P
2.2;0.0;S
12.46;0.0;background3
2.24;0.0;S
2.26;0.0;S
2.28;0.0;S
2.48;0.0;S
2.32;0.0;S
2.34;0.0;S
2.36;0.0;S
2.38;0.0;S
2.4;0.0;S
2.42;0.0;S
2.44;0.0;S
2.46;0.0;S
2.3;0.0;S
6.98;0.0;Fe kb
6.96;0.0;Fe kb
6.94;0.0;Fe kb
6.92;0.0;Fe kb
6.9;0.0;Fe kb
6.88;0.0;Fe kb
6.86;0.0;Fe kb
6.84;0.0;Fe kb
6.82;0.0;Fe kb
6.8;0.0;Fe kb
6.78;0.0;Fe ka
6.76;0.0;Fe ka
6.74;0.0;Fe ka
6.72;0.0;Fe ka
6.7;0.0;Fe ka
4.42;0.0;Ti ka
6.14;0.0;Fe ka
6.16;0.0;Fe ka
6.18;0.0;Fe ka
6.2;0.0;Fe ka
6.22;0.0;Fe ka
6.24;0.0;Fe ka
6.26;0.0;Fe ka
6.68;0.0;Fe ka
6.34;0.0;Fe ka
6.54;0.0;Fe ka
6.56;0.0;Fe ka
6.58;0.0;Fe ka
6.6;0.0;Fe ka
6.62;0.0;Fe ka
6.64;0.0;Fe ka
6.66;0.0;Fe ka
6.3;0.0;Fe ka
7.38;0.0;background1
7.4;0.0;background1
7.42;0.0;background1
7.44;0.0;background1
7.46;0.0;background1
7.48;0.0;background1
7.5;0.0;background1
7.0;0.0;Fe kb
7.54;0.0;background1
7.56;0.0;background1
7.58;0.0;background1
7.6;0.0;background1
7.62;0.0;background1
7.64;0.0;background1
7.66;0.0;background1
7.68;0.0;background1
7.52;0.0;background1
7.04;0.0;Fe kb
7.06;0.0;Fe kb
7.08;0.0;Fe kb
7.1;0.0;Fe kb
7.12;0.0;Fe kb
7.14;0.0;Fe kb
7.16;0.0;Fe kb
7.36;0.0;background1
