energy;Reg_coef;Abs_Reg_coef;Zone
12.59;0.00345654218283652;0.00345654218283652;Bremsstrahlung
17.60;-0.0034352752562192947;0.0034352752562192947;Bremsstrahlung
14.12;0.003427391395660755;0.003427391395660755;Bremsstrahlung
18.88;-0.0033979987771378018;0.0033979987771378018;Bremsstrahlung
4.61;0.003387810493284135;0.003387810493284135;background
16.91;0.0033712318540231913;0.0033712318540231913;Bremsstrahlung
4.04;0.0033676006534828365;0.0033676006534828365;background
18.75;-0.0033607247865606637;0.0033607247865606637;Bremsstrahlung
5.17;0.0033500538636506557;0.0033500538636506557;background
6.86;-0.003344942535316413;0.003344942535316413;Cu
12.28;0.003344243842677207;0.003344243842677207;Bremsstrahlung
18.86;-0.0033348782890703275;0.0033348782890703275;Bremsstrahlung
2.97;-0.003323357888524356;0.003323357888524356;Ag La
2.76;-0.0033009439737210523;0.0033009439737210523;Ag La
15.96;0.0032927500304466848;0.0032927500304466848;Bremsstrahlung
13.15;0.003277898510141787;0.003277898510141787;Bremsstrahlung
3.30;-0.0032688352250536236;0.0032688352250536236;Ag Lb
12.08;0.00325968655635855;0.00325968655635855;Bremsstrahlung
18.29;-0.003228342428345632;0.003228342428345632;Bremsstrahlung
12.00;0.003224736272066999;0.003224736272066999;Bremsstrahlung
13.69;0.0032148285456376;0.0032148285456376;Bremsstrahlung
18.65;-0.003201568976865067;0.003201568976865067;Bremsstrahlung
13.66;0.0031841731435609186;0.0031841731435609186;Bremsstrahlung
18.40;0.0031792298175720196;0.0031792298175720196;Bremsstrahlung
8.32;-0.0031772631885290544;0.0031772631885290544;Cu
20.60;-0.0031631045605285428;0.0031631045605285428;Ag compton
7.04;-0.003116763524788683;0.003116763524788683;Cu
22.31;0.00309623974281586;0.00309623974281586;Ag ka
21.31;0.0030909512242140915;0.0030909512242140915;Ag compton
10.41;0.0030836437363374845;0.0030836437363374845;Bremsstrahlung
15.30;-0.00308364216971837;0.00308364216971837;Bremsstrahlung
4.43;-0.0030826099195902204;0.0030826099195902204;background
9.75;-0.0030786183845882397;0.0030786183845882397;Bremsstrahlung
9.67;0.003075116960191315;0.003075116960191315;Bremsstrahlung
2.71;0.003074626173249415;0.003074626173249415;Ag La
12.23;-0.0030743038047020155;0.0030743038047020155;Bremsstrahlung
10.77;0.0030553286546283216;0.0030553286546283216;Bremsstrahlung
12.72;0.003046794272694277;0.003046794272694277;Bremsstrahlung
13.10;-0.003037671989996217;0.003037671989996217;Bremsstrahlung
17.40;-0.003037569018844109;0.003037569018844109;Bremsstrahlung
5.73;0.0030180200314995826;0.0030180200314995826;background
9.44;0.0029948017842911954;0.0029948017842911954;Bremsstrahlung
16.86;-0.0029903596774981684;0.0029903596774981684;Bremsstrahlung
13.71;0.0029892385881976134;0.0029892385881976134;Bremsstrahlung
19.52;0.002981447702009241;0.002981447702009241;Bremsstrahlung
11.08;0.0029679392394405093;0.0029679392394405093;Bremsstrahlung
21.72;0.0029603565058197922;0.0029603565058197922;Ag ka
21.23;-0.002945764158984486;0.002945764158984486;Ag compton
7.68;0.002944521809489548;0.002944521809489548;Cu
8.44;-0.0029221822692764706;0.0029221822692764706;Zn
18.96;-0.002909811002506477;0.002909811002506477;Bremsstrahlung
9.26;-0.002908404405795619;0.002908404405795619;Bremsstrahlung
18.14;-0.0028997972893072942;0.0028997972893072942;Bremsstrahlung
11.59;0.00289403144176911;0.00289403144176911;Bremsstrahlung
5.60;-0.0028912181938767277;0.0028912181938767277;background
3.43;0.0028854053721768928;0.0028854053721768928;Ag Lb
3.71;0.002876241261831118;0.002876241261831118;Ca
16.17;0.0028714317393048103;0.0028714317393048103;Bremsstrahlung
21.62;0.002870818073053413;0.002870818073053413;Ag ka
10.06;0.0028497628548256257;0.0028497628548256257;Bremsstrahlung
15.43;0.0028462135128434047;0.0028462135128434047;Bremsstrahlung
13.92;-0.002833176317995883;0.002833176317995883;Bremsstrahlung
16.99;-0.002816293285574806;0.002816293285574806;Bremsstrahlung
16.55;-0.0028126925167286073;0.0028126925167286073;Bremsstrahlung
7.63;0.0028084962138886106;0.0028084962138886106;Cu
10.13;0.002806416707739303;0.002806416707739303;Bremsstrahlung
5.91;0.0027929523377269345;0.0027929523377269345;background
8.49;0.002791744539005927;0.002791744539005927;Zn
3.99;-0.0027878047691220834;0.0027878047691220834;background
19.78;-0.0027813295009159775;0.0027813295009159775;Bremsstrahlung
14.79;-0.0027763727011810187;0.0027763727011810187;Bremsstrahlung
22.36;0.002765049855434492;0.002765049855434492;Ag ka
8.47;0.0027600979965839746;0.0027600979965839746;Zn
20.62;-0.002757022732849031;0.002757022732849031;Ag compton
18.52;0.0027560071766072917;0.0027560071766072917;Bremsstrahlung
12.92;0.0027547385088004857;0.0027547385088004857;Bremsstrahlung
16.14;-0.0027493584914133843;0.0027493584914133843;Bremsstrahlung
19.19;-0.0027448487672582615;0.0027448487672582615;Bremsstrahlung
18.37;-0.002744021460554579;0.002744021460554579;Bremsstrahlung
19.96;0.0027409144997783373;0.0027409144997783373;Bremsstrahlung
4.32;-0.002737846617244431;0.002737846617244431;background
3.05;-0.0027331068914943643;0.0027331068914943643;Ag La
7.42;-0.0027306241162884087;0.0027306241162884087;Cu
20.65;-0.002716688004060139;0.002716688004060139;Ag compton
5.68;-0.0027126933006606877;0.0027126933006606877;background
12.66;0.0027024828228844806;0.0027024828228844806;Bremsstrahlung
14.02;-0.002701612687434178;0.002701612687434178;Bremsstrahlung
12.84;0.0026956951415795607;0.0026956951415795607;Bremsstrahlung
13.33;0.002677112942919631;0.002677112942919631;Bremsstrahlung
22.56;0.0026657491837518556;0.0026657491837518556;Ag ka
5.78;0.002657529221768782;0.002657529221768782;background
12.69;-0.0026475121182594897;0.0026475121182594897;Bremsstrahlung
7.65;0.0026331575362156753;0.0026331575362156753;Cu
10.44;0.002612743171447513;0.002612743171447513;Bremsstrahlung
5.89;0.002605484448020052;0.002605484448020052;background
16.68;-0.0025963052064852535;0.0025963052064852535;Bremsstrahlung
7.19;-0.0025869255868168368;0.0025869255868168368;Cu
21.21;-0.0025814550967991922;0.0025814550967991922;Ag compton
6.09;0.0025713371719423904;0.0025713371719423904;background
7.06;-0.0025542687990201844;0.0025542687990201844;Cu
18.60;-0.002546290352128944;0.002546290352128944;Bremsstrahlung
19.47;0.0025404641529150978;0.0025404641529150978;Bremsstrahlung
10.00;0.0025358971867137418;0.0025358971867137418;Bremsstrahlung
17.96;-0.002517645609550328;0.002517645609550328;Bremsstrahlung
21.13;-0.0025125508091420473;0.0025125508091420473;Ag compton
17.91;-0.0025094872498585283;0.0025094872498585283;Bremsstrahlung
4.91;-0.002499057051296919;0.002499057051296919;background
18.01;-0.002494324577693265;0.002494324577693265;Bremsstrahlung
15.17;0.0024883701359650007;0.0024883701359650007;Bremsstrahlung
2.66;0.002485417703214936;0.002485417703214936;Ag La
6.37;-0.002483033790751382;0.002483033790751382;Fe
16.96;-0.002473513274507467;0.002473513274507467;Bremsstrahlung
19.83;-0.002471113475897514;0.002471113475897514;Bremsstrahlung
4.86;-0.0024642285638846796;0.0024642285638846796;background
8.57;0.002460230262817822;0.002460230262817822;Zn
14.92;0.0024533758294705194;0.0024533758294705194;Bremsstrahlung
8.19;-0.002453298463476938;0.002453298463476938;Cu
21.44;-0.0024462570051792263;0.0024462570051792263;Ag compton
12.64;0.002436268855914973;0.002436268855914973;Bremsstrahlung
12.82;0.0024268474324703315;0.0024268474324703315;Bremsstrahlung
3.53;-0.002418962346280101;0.002418962346280101;Ca
12.95;-0.0024181592637350625;0.0024181592637350625;Bremsstrahlung
14.40;-0.0024136063242627343;0.0024136063242627343;Bremsstrahlung
11.33;-0.0024061904425506666;0.0024061904425506666;Bremsstrahlung
5.55;0.002404840518986489;0.002404840518986489;background
15.94;-0.0023933051377437054;0.0023933051377437054;Bremsstrahlung
6.22;0.002392935472468536;0.002392935472468536;Fe
9.42;0.0023903100344808397;0.0023903100344808397;Bremsstrahlung
4.17;0.0023831347256641454;0.0023831347256641454;background
15.04;0.002381492246061586;0.002381492246061586;Bremsstrahlung
