Class;1.40;1.42;1.44;1.46;1.48;1.50;1.52;1.54;1.56;1.58;1.60;1.62;1.64;1.66
B;0.428890556;0.461413062;0.404498676;0.445151809;0.434988526;0.502066195;0.453282436;0.518327449;0.430923212;0.471576346;0.426857899;0.428890556;0.343518976;0.345551633
B;0.419577868;0.431739546;0.391200621;0.437820384;0.492547932;0.500655717;0.510790448;0.480386255;0.427685653;0.425658707;0.433766492;0.336473073;0.342553912;0.352688643
B;0.358187571;0.332318469;0.382066742;0.401966052;0.421865361;0.39798619;0.382066742;0.433804947;0.427835154;0.431815016;0.384056673;0.370127157;0.308439297;0.306449366
B;0.398344788;0.414199307;0.382490269;0.372581195;0.418162937;0.402308418;0.44392653;0.449871975;0.422126567;0.412217492;0.354744861;0.380508454;0.356726676;0.325017638
B;0.38915711;0.441855469;0.474285228;0.445909189;0.40131827;0.454016628;0.447936049;0.449962908;0.433748029;0.458070348;0.433748029;0.352673631;0.39523769;0.318217012
B;0.371772612;0.38182052;0.395887592;0.462203788;0.482299605;0.492347513;0.492347513;0.520481657;0.411964246;0.428040899;0.339619305;0.434069644;0.283351018;0.323542651
B;0.366192617;0.402211563;0.428225246;0.400210511;0.392206301;0.442232614;0.400210511;0.434228404;0.434228404;0.422222089;0.408214721;0.390205248;0.364191565;0.314165251
B;0.471138072;0.447079957;0.396958886;0.459109015;0.447079957;0.443070272;0.429036372;0.431041215;0.483167129;0.412997629;0.398963729;0.332803914;0.3368136;0.312755486
B;0.37444588;0.414708878;0.422761478;0.440879827;0.430814078;0.436853527;0.456985026;0.440879827;0.477116525;0.446919277;0.436853527;0.37645903;0.322103983;0.299959334
B;0.486591367;0.419685054;0.500783615;0.425767446;0.46834419;0.456179406;0.403465342;0.450097014;0.423739982;0.431849838;0.476454047;0.419685054;0.413602662;0.389273093
B;0.43568766;0.44375595;0.425602298;0.449807168;0.496199835;0.471994965;0.449807168;0.423585225;0.437704733;0.496199835;0.457875458;0.439721805;0.359038905;0.320714528
B;0.425297862;0.474370692;0.423253161;0.437566069;0.543890535;0.498907107;0.464147186;0.521398821;0.51935412;0.443700173;0.455968381;0.425297862;0.404850849;0.34146511
B;0.448685833;0.454721966;0.418505172;0.450697877;0.464782186;0.45673401;0.432589481;0.424541304;0.452709922;0.482890583;0.448685833;0.37826429;0.342047496;0.323939099
B;0.378184393;0.410370299;0.372149536;0.444567824;0.424451633;0.462672396;0.442556205;0.47675373;0.426463252;0.444567824;0.402323822;0.38421925;0.348010106;0.350021725
B;0.37250625;0.39242637;0.450194719;0.424298563;0.498003008;0.400394418;0.454178743;0.418322527;0.404378442;0.360554178;0.394418382;0.374498262;0.344618081;0.308761865
B;0.482639185;0.454248644;0.440053374;0.448164957;0.41369073;0.431941791;0.446137061;0.39949546;0.490750768;0.476555497;0.444109166;0.383272294;0.369077024;0.438025478
B;0.411360818;0.391196072;0.449673835;0.413377292;0.387163123;0.437574988;0.435558513;0.439591462;0.461772683;0.429509089;0.421443191;0.366998377;0.375064275;0.314570037
B;0.450672659;0.440522374;0.432402146;0.401951291;0.505484199;0.428342032;0.483153572;0.507514256;0.477063401;0.462853002;0.452702716;0.418191747;0.420221804;0.355259979
B;0.43148902;0.427456413;0.401244463;0.461733578;0.498027047;0.441570539;0.473831401;0.45770097;0.443586843;0.419391197;0.433505324;0.377048817;0.314543398;0.366967298
B;0.472329694;0.529830701;0.486704946;0.474383302;0.505187412;0.478490516;0.474383302;0.521616271;0.453847228;0.488758553;0.466168872;0.386078185;0.398399829;0.379917363
B;0.395792605;0.385797842;0.429774798;0.429774798;0.39979051;0.429774798;0.479748612;0.395792605;0.389795747;0.427775845;0.397791557;0.355813554;0.363809364;0.317833455
B;0.399992;0.42199156;0.40199196;0.42399152;0.42399152;0.43399132;0.41599168;0.42599148;0.39799204;0.3799924;0.4099918;0.38799224;0.31799364;0.30799384
B;0.431298939;0.417124795;0.512294045;0.441423327;0.512294045;0.487995513;0.429274061;0.425224306;0.411050162;0.41307504;0.402950652;0.356378466;0.419149673;0.352328711
